"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"<i>Coccidioides posadasii</i> RMSCC 1038 Genome Sequence","2015-07-13","N/A","Daniel E. Neafsey","Harvard University & BROAD Institute, Cambridge, MA, USA","FungiDB rel. 51, 2021-MAR-16","26","Genomes","cposRMSCC1038_primary_genome_RSRC","DS_e200038fc0","<i>Coccidioides posadasii</i> RMSCC 1038<br>","20516208","N/A","Daniel E. Neafsey","Genome sequence for <i>Coccidioides posadasii</i> RMSCC 1038","genome","N/A"
"RNA-Seq of WT and cqs1delta strains during sexual development stage","2018-05-15","Apollo","Linqi Wang","University of Chinese Academy of Sciences","FungiDB rel. 42, 2019-MAR-07","42","RNASeq","cneoJEC21_Tian_Stranded_WT_cqs1delta_ebi_rnaSeq_RSRC","DS_e20baa3a59","<i>Cryptococcus neoformans</i> var. neoformans JEC21<br>","29784977","N/A","Tian et al. 2018","Stranded RNA-Seq of WT (XL280α) and cqs1&#916; strains grown on V8 media.","transcript_expression","N/A"
"SNP calls on WGS of Fusarium verticillioides strains","2016-03-22","Apollo","Tom Hammond","College of Arts and Sciences, Illinois State University, USA","FungiDB rel. 58, 2022-JUN-23","58","Genetic variation","fver7600_HTS_SNP_Fverticillioides_WGS_PRJNA315818_RSRC","DS_e23b9209c1","<i>Fusarium verticillioides</i> 7600<br>","N/A","N/A","Illinois State University","SNP calls on WGS of Fusarium verticillioides strains","isolates","N/A"
"<i>Fusarium fujikuroi</i> IMI 58289 Genome Sequence and Annotation","2016-01-12","Apollo","Bettina Tudzynski","Westfälische Wilhelms-Universität Münster, Institut für Biologie und Biotechnologie der Pflanzen","FungiDB rel. 51, 2021-MAR-16","31","Genomes","ffujIMI58289_primary_genome_RSRC","DS_e386d68c74","<i>Fusarium fujikuroi</i> IMI 58289<br>","23825955","N/A","Bettina Tudzynski","Genome sequence and annotation for <i>Fusarium fujikuroi</i> IMI 58289.","genome","15099"
"<i>Aspergillus niger</i> CBS 513.88 Genome Sequence and Annotation","2015-09-14","Apollo","Hein Stam","DSM","FungiDB rel. 51, 2021-MAR-16","21","Genomes","anigCBS513-88_primary_genome_RSRC","DS_e3b988685c","<i>Aspergillus niger</i> CBS 513.88<br>","17050415, 17259976, 18490952","N/A","Hein Stam","Genome sequence and annotation for <i>Aspergillus niger</i> CBS 513.88.","genome","14403"
"<i>Candida albicans</i> SC5314_B Genome Sequence and Annotation","A22-s07-m01-r59","N/A","Candida Genome Database (CGD)","Stanford University","FungiDB rel. 39, 2018-AUG-30","29","Genomes","calbSC5314_B_primary_genome_RSRC","DS_e43fc5921f","<i>Candida albicans</i> SC5314_B<br>","15123810, 17419877, 24025428, 6394964","N/A","Candida Genome Database (CGD)","Genome sequence and annotation for <i>Candida albicans</i> SC5314_B.","genome","6415"
"Characterization of light regulated genes","2014-07-21","Apollo","Matthew Sachs","Department of Biology, Texas A&M University","FungiDB rel. 34, 2017-SEP-07","34","RNASeq","ncraOR74A_Sachs_Light_Regulated_Genes_ebi_rnaSeq_RSRC","DS_e454d418a8","<i>Neurospora crassa</i> OR74A<br>","25053707","N/A","Wu et al. 2014","Transcriptomic analysis of light-regulated genes</i>","transcript_expression","N/A"
"<i>Pythium arrhenomanes</i> ATCC 12531 Genome Sequence and Annotation","2016-03-02","Apollo","C. Robin Buell","Department of Plant Biology, Michigan State University, East Lansing, Michigan, USA","FungiDB rel. 51, 2021-MAR-16","23","Genomes","parrATCC12531_primary_genome_RSRC","DS_e4eb4a63bd","<i>Pythium arrhenomanes</i> ATCC 12531<br>","24124466","N/A","C. Robin Buell","Genome sequence and annotation for <i>Pythium arrhenomanes</i> ATCC 12531.","genome","13857"
"PHI-base curated phenotypes","N/A","Apollo","PHI-base","Rothamsted Research, UK","FungiDB rel. 57, 2022-APR-21","57","Phenotype","(.*)_PHI-base_curated_phenotype_NAFeaturePhenotypeGeneric_RSRC","DS_e51cb08950","<i>Aspergillus carbonarius</i> ITEM 5010<br><i>Aspergillus clavatus</i> NRRL 1<br><i>Aspergillus flavus</i> NRRL3357<br><i>Aspergillus fumigatus</i> A1163<br><i>Aspergillus fumigatus</i> Af293<br><i>Aspergillus nidulans</i> FGSC A4<br><i>Aspergillus oryzae</i> RIB40<br><i>Botrytis cinerea</i> B05.10<br><i>Candida albicans</i> SC5314<br><i>Candida albicans</i> WO-1<br><i>Candida parapsilosis</i> CDC317<br><i>Candida tropicalis</i> MYA-3404<br><i>Claviceps purpurea</i> 20.1<br><i>Clavispora lusitaniae</i> ATCC 42720<br><i>Coccidioides posadasii</i> C735 delta SOWgp<br><i>Coccidioides posadasii</i> RMSCC 3488<br><i>Coccidioides posadasii</i> str. Silveira<br><i>Colletotrichum graminicola</i> M1.001<br><i>Cryptococcus gattii</i> EJB2<br><i>Cryptococcus gattii</i> NT-10<br><i>Cryptococcus gattii</i> VGII R265<br><i>Cryptococcus gattii</i> WM276<br><i>Cryptococcus neoformans</i> var. grubii H99<br><i>Cryptococcus neoformans</i> var. grubii KN99<br><i>Cryptococcus neoformans</i> var. neoformans B-3501A<br><i>Cryptococcus neoformans</i> var. neoformans JEC21<br><i>Exophiala dermatitidis</i> NIH/UT8656<br><i>Fusarium fujikuroi</i> IMI 58289<br><i>Fusarium graminearum</i> PH-1<br><i>Fusarium odoratissimum</i> NRRL 54006<br><i>Fusarium odoratissimum</i> strain race 4<br><i>Fusarium oxysporum</i> Fo47<br><i>Fusarium oxysporum</i> f. sp. cubense race 1<br><i>Fusarium oxysporum</i> f. sp. lycopersici 4287<br><i>Fusarium oxysporum</i> f. sp. melonis 26406<br><i>Fusarium verticillioides</i> 7600<br><i>Histoplasma capsulatum</i> G186AR<br><i>Hyaloperonospora arabidopsidis</i> Emoy2<br><i>Melampsora larici-populina</i> 98AG31<br><i>Nakaseomyces glabratus</i> BG2<br><i>Nakaseomyces glabratus</i> CBS 138<br><i>Paracoccidioides brasiliensis</i> Pb03<br><i>Paracoccidioides brasiliensis</i> Pb18<br><i>Phytophthora capsici</i> LT1534<br><i>Phytophthora infestans</i> T30-4<br><i>Phytophthora parasitica</i> INRA-310<br><i>Phytophthora sojae</i> strain P6497<br><i>Puccinia graminis</i> f. sp. tritici CRL 75-36-700-3<br><i>Puccinia striiformis</i> 93TX-2<br><i>Puccinia striiformis</i> strain 93-210<br><i>Pyricularia oryzae</i> 70-15<br><i>Pyricularia oryzae</i> BR32<br><i>Pythium aphanidermatum</i> DAOM BR444<br><i>Rhizopus delemar</i> RA 99-880<br><i>Saccharomyces cerevisiae</i> S288C<br><i>Sclerotinia sclerotiorum</i> 1980 UF-70<br><i>Trichoderma virens</i> Gv29-8<br><i>Ustilago maydis</i> 521<br><i>Zymoseptoria tritici</i> IPO323<br><i>Zymoseptoria tritici</i> ST99CH_3D1<br>","26300902, 34788826","N/A","PHI-base database","Pathogen - host interaction phenotypes and pathogen phenotypes curated at PHI-base","phenotype","N/A"
"Transcriptomics of environmental (mycelia) and parasitic (spherule 96 hr) stages of the Δcts2/Δard1/Δcts3 strain.","2020-05-18","N/A","Bridget Barker","Pathogen and Microbiome Institute, Northern Arizona University, Flagstaff, Arizona, USA","FungiDB rel. 56, 2022-FEB-15","56","RNASeq","cposC735deltSOWgp_mead_cposadasii_mycelia_spherule_ebi_rnaSeq_RSRC","DS_e68c49ad2b","<i>Coccidioides posadasii</i> C735 delta SOWgp<br>","32499817","N/A","Mead et al. 2020","An attenuated mutant strain <i>C. posadasii</i> Δ<i>cts2</i>/Δ<i>ard1</i>/Δ<i>cts3</i> in which chitinase genes 2 and 3 were deleted was previously created for vaccine development and profiled by RNA-Seq at two conditions.","transcript_expression","N/A"
"<i>Phytophthora sojae</i> strain P6497 Genome Sequence and Annotation","2015-03-14","Apollo","Brett M Tyler","Oregon State University","FungiDB rel. 51, 2021-MAR-16","21","Genomes","psojP6497_primary_genome_RSRC","DS_e6b2af2f1b","<i>Phytophthora sojae</i> strain P6497<br>","16946064","N/A","Brett M Tyler","Genome sequence and annotation for <i>Phytophthora sojae</i> P6497.","genome","28142"
"Flucytosine Susceptiblity","2011-06-23","Apollo","Yong-Sun Bahn","Department of Biotechnology, Center for Fungal Pathogenesis, College of Life Science and Biotechnology, Yonsei University","FungiDB rel. 3.1, 2014-SEP-10","22","DNA Microarray Assay","cneoH99_microarrayExpression_Bahn_Flucytosine_GSE30154_RSRC","DS_e78b6908c3","<i>Cryptococcus neoformans</i> var. grubii H99<br>","22080454","N/A","Yong-Sun Bahn","Sensor kinase tco1 and tco2 mutants were found to control flucytosine resistance in opposing manners (tco1&#916; was more susceptible than wild-type and tco2&#916; was more resistant). This study identifies APSES-like transcription factor MSA1 as one of several novel flucytosine-responsive genes (of a total 194 genes).<br><br>
      24 slides of <i>Cryptococcus neoformans var. neoformans</i> JEC21 70-mer oligo were used in this analysis:  3 biological replicate experiments were performed under 2 conditions (with and without flucytosine) with 4 strains of Crytococcus neoformans var. grubii H99 (wild-type, tco1&#916;, tco2&#916;, and hog1&#916;). We use the mixed [sum] of total RNAs from this experiment as control RNA. Cy5 is used as the sample dye and Cy3 as the control dye.","transcript_expression","N/A"
"Comparative transcriptomes of yeast and hyphal forms in Histoplasma capsulatum G217B","2015-07-15","Apollo","Anita Sil","Department of Microbiology and Immunology, University of California, USA","FungiDB rel. 37, 2018-APR-25","37","RNASeq","hcapG217B_Sil_Hyphae_Yeast_ebi_rnaSeq_RSRC","DS_e89e3f152b","<i>Histoplasma capsulatum</i> G217B<br>","26177267","N/A","Gilmore et al. 2015","Analysis of yeast and hyphal transcript expression patterns in <i>Histoplasma capsulatum</i> grown at 37&#176;C and room temperature (RT), respectively.","transcript_expression","N/A"
"<i>Chrysosporium queenslandicum</i> isolate CBS 280.77 Genome Sequence","2015-11-03","N/A","Emily Whiston","University of California, Berkeley","FungiDB rel. 51, 2021-MAR-16","45","Genomes","cqueCBS280.77_primary_genome_RSRC","DS_e92ae61f2f","<i>Chrysosporium queenslandicum</i> isolate CBS 280.77<br>","26613950","N/A","Emily Whiston","Genome sequence for <i>Chrysosporium queenslandicum</i> CBS 280.77.","genome","N/A"
"<i>Kwoniella mangrovensis</i> CBS8507 Genome Sequence and Annotation","2016-07-20","Apollo","The Broad Institute of MIT and Harvard","The Broad Institute of MIT and Harvard","FungiDB rel. 53, 2021-JUL-21","53","Genomes","kmanCBS8507_primary_genome_RSRC","DS_e94c42f986","<i>Kwoniella mangroviensis</i> CBS 8507<br>","N/A","N/A","The Broad Institute of MIT and Harvard","Genome Sequence and Annotation of <i>Kwoniella mangroviensis</i> CBS 8507","genome","8555"
"<i>Fusarium oxysporum</i> NRRL 32931 Genome Sequence and Annotation","2015-03-18","N/A","Li-Jun Ma","Department of Biochemistry and Molecular Biology, University of Massachusetts Amherst","FungiDB rel. 51, 2021-MAR-16","42","Genomes","foxyFOSC3a_primary_genome_RSRC","DS_e983d1d491","<i>Fusarium oxysporum</i> NRRL 32931<br>","N/A","N/A","Li-Jun Ma","Genome sequence and annotation for <i>Fusarium oxysporum</i> NRRL 32931.","genome","17642"
"Gene expression in Aspergillus nidulans grown on multiple nitrogen sources","2021-06-29","Apollo","Richard B. Todd","Department of Plant Pathology, Kansas State University","FungiDB rel. 59, 2022-AUG-30","59","RNASeq","anidFGSCA4_Steyer_2021_Anidulans_nitrogen_ebi_rnaSeq_RSRC","DS_e9d3e44418","<i>Aspergillus nidulans</i> FGSC A4<br>","34154419","N/A","Steyer et al. 2021","Aspergillus nidulans (MH1; biA1) was grown in liquid culture with ammonium, glutamine or alanine as the nitrogen source.","transcript_expression","N/A"
"<i>Sporothrix schenckii</i> 1099-18 Genome Sequence and Annotation","2015-03-24","Apollo","Maria Sueli Soares Felipe","Departamento de Biologia Celular, Universidade de Brasília","FungiDB rel. 51, 2021-MAR-16","39","Genomes","ssch1099-18_primary_genome_RSRC","DS_ea5a27648e","<i>Sporothrix schenckii</i> 1099-18<br>","24855299, 25351875, 25480940","N/A","Maria Sueli Soares Felipe","Genome sequence and annotation for <i>Sporothrix schenckii</i> 1099-18.","genome","10434"
"<i>Exophiala aquamarina</i> CBS 119918 Genome Sequence and Annotation","2014-06-16","Apollo","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 59, 2022-AUG-30","59","Genomes","eaquCBS119918_primary_genome_RSRC","DS_ea9df1c0c0","<i>Exophiala aquamarina</i> CBS 119918<br>","28348446","N/A","Christina Cuomo","Genome Sequence and Annotation of <i>Exophiala aquamarina</i> CBS 119918","genome","13118"
"Analysis of clock-regulated genes","2014-12-02","Apollo","Jennifer Hurley","Department of Biological Sciences, Rensselaer Polytechnic Institute, Troy, USA","FungiDB rel. 62, 2023-MAR-09","62","RNASeq","ncraOR74A_Hurley_2014_NC_3_ebi_rnaSeq_RSRC","DS_eb1f1d3a5c","<i>Neurospora crassa</i> OR74A<br>","25362047","N/A","Hurley et al. 2014","Analysis of clock-regulated genes in <i>Neurospora crassa</i>.","transcript_expression","N/A"
"Transcriptomic profiling of the Cryptococcus neoformans transition to titan-like cells","2018-05-18","Apollo","Óscar Zaragoza","Mycology Reference Laboratory, National Centre for Microbiology, Instituto de Salud Carlos III,","FungiDB rel. 56, 2022-FEB-15","56","RNASeq","cneoH99_Trevijano_2019_cneo_ebi_rnaSeq_RSRC","DS_eb589156b3","<i>Cryptococcus neoformans</i> var. grubii H99<br>","29775477","N/A","Trevijano-Contador et al. 2018","Expression profile of titan-like cells was compared to cells of regular size in C. neoformans. This study was performed at different time points of the transition: 7 and 24 h","transcript_expression","N/A"
"<i>Aphanomyces astaci</i> strain APO3 Genome Sequence and Annotation","2014-01-14","Apollo","The Broad Institute of MIT and Harvard","The Broad Institute of MIT and Harvard","FungiDB rel. 51, 2021-MAR-16","23","Genomes","aastAPO3_primary_genome_RSRC","DS_ebb03a8924","<i>Aphanomyces astaci</i> strain APO3<br>","N/A","N/A","The Broad Institute of MIT and Harvard","Genome sequence and annotation for <i>Aphanomyces astaci</i> APO3.","genome","19584"
"<i>Aspergillus tanneri</i> NIH1004 Genome Sequence and Annotation","2019-04-17","Apollo","William C. Nierman","J. Craig Venter Institute","FungiDB rel. 58, 2022-JUN-23","58","Genomes","atanNIH1004_primary_genome_RSRC","DS_ec6d40428f","<i>Aspergillus tanneri</i> NIH1004<br>","31948962","N/A","William C. Nierman","Genome Sequence and Annotation of <i>Aspergillus tanneri</i> NIH1004","genome","13590"
"<i>Aspergillus novofumigatus</i> IBT 16806 Genome Sequence and Annotation","2017-12-27","Apollo","Igor V. Grigoriev","DOE Joint Genome Institute","FungiDB rel. 51, 2021-MAR-16","37","Genomes","anovIBT16806_primary_genome_RSRC","DS_ed02a8e11b","<i>Aspergillus novofumigatus</i> IBT 16806<br>","29317534","N/A","Igor V. Grigoriev","<i>Aspergillus novofumigatus</i> IBT 16806 Genome Sequence and Annotation","genome","11729"
"<i>Naganishia albida</i> NRRL Y-1402 Genome Sequence","2016-07-26","N/A","Kartik Chandran","Department of Earth and Environmental Engineering, Columbia University","FungiDB rel. 51, 2021-MAR-16","42","Genomes","nalbNRRLY1402_primary_genome_RSRC","DS_ed04aca700","<i>Naganishia albida</i> NRRL Y-1402<br>","27198024","N/A","Kartik Chandran","Genome sequence for <i>Naganishia albida</i> NRRL Y-1402","genome","N/A"
"Cryptococcus neoformans sexual reproduction is controlled by a quorum sensing peptide","2018-05-15","Apollo","Linqi Wang","University of Chinese Academy of Sciences","FungiDB rel. 42, 2019-MAR-07","42","RNASeq","cneoJEC21_Tian_Sexual_Reproduction_ebi_rnaSeq_RSRC","DS_ed3e7d4f66","<i>Cryptococcus neoformans</i> var. neoformans JEC21<br>","29784977","N/A","Tian et al. 2018","Transcriptomic analysis of gene expression targeting pheromone pathways and quorum sensing.","transcript_expression","N/A"
"Transcription profiles of three clinical isolates","2021-02-10","Apollo","Sunil K. Shaw","Department of Pediatrics, Women & Infants Hospital of Rhode Island, USA","FungiDB rel. 67, 2024-FEB-21","67","RNASeq","cparCDC317_Cpar_Bliss_2021_ebi_rnaSeq_RSRC","DS_ed68021b4a","<i>Candida parapsilosis</i> CDC317<br>","33568454","N/A","Bliss et al. 2021","Three clinical isolates exhibiting adhesive phenotypes were incubated at 37°C in YPD, M199, or pooled human plasma","transcript_expression","N/A"
"<i>Aspergillus tubingensis</i> CBS 134.48 Genome Sequence and Annotation","2016-12-07","Apollo","Ronald P. de Vries","Westerdijk Fungal Biodiversity Institute","FungiDB rel. 51, 2021-MAR-16","33","Genomes","atubCBS134.48_primary_genome_RSRC","DS_ed899b78da","<i>Aspergillus tubingensis</i> CBS 134.48<br>","28196534","N/A","Ronald P. de Vries","Genome sequence and annotation for <i>Aspergillus tubingensis</i> CBS 134.48","genome","12592"
"Aligned genome sequence reads - Candida auris clinical isolates (global)","2019-12-16","Apollo","Anastasia P. Litvintseva","Mycotic Diseases Branch, Centers for Disease Control and Prevention, Atlanta, Georgia","FungiDB rel. 53, 2021-JUL-21","53","Genetic variation","caurB8441_HTS_SNP_161_Clinical_Isolates_RSRC","DS_edc8701de5","<i>Candida auris</i> strain B8441<br>","32345637","N/A","Cauris global","154 Candida auris isolates from various countries and continents","isolates","N/A"
"SNP calls on WGS of isolates obtained by Wadsworth Center, New York State Department of Health","2022-06-01","Apollo","Vishnu Chaturvedi","Department of Pathology and Clinical Laboratories, WestchesterMedical Center","FungiDB rel. 62, 2023-MAR-09","62","Genetic variation","caurB8441_HTS_SNP_Ca_NY_PRJNA640677_RSRC","DS_edf8e6773c","<i>Candida auris</i> strain B8441<br>","35770999","N/A","Jacobs et al. 2022","C. auris strains were isolated from a multi-visceral transplant recipient with refractory fungal peritonitis.","isolates","N/A"
"SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.","2017-12-21","Apollo","David M. Engelthaler","Translational Genomics Research Institute","FungiDB rel. 58, 2022-JUN-23","58","Genetic variation","cdeuR265_HTS_SNP_ClusitaniaePopgen_PRJNA388113_RSRC","DS_ee39bb51bf","<i>Cryptococcus gattii</i> VGII R265<br>","29359190","N/A","Roe et al. 2018","WGS of <i>C. gattii</i> populations (VGIIa, VGIIb, and VGIIc).","isolates","N/A"
"Aspergillus fumigatus LH-EVOL strains","2022-09-01","Apollo","Joshua J. Obar","Geisel School of Medicine at Dartmouth, Department of Microbiology; Immunology","FungiDB rel. 64, 2023-JUL-12","64","Genetic variation","afumAf293_HTS_SNP_Afum_LH-EVOL_PRJNA757188_RSRC","DS_ee797bb846","<i>Aspergillus fumigatus</i> Af293<br>","34878292","N/A","Kirkland et al. 2021","Serial passaged <i>A. fumigatus</i> in lung homogenate to generate Lung Homogenate EVOLved (LH-EVOL) strain.","isolates","N/A"
"<i>Talaromyces stipitatus</i> ATCC 10500 Genome Sequence and Annotation","2015-03-11","Apollo","Barbara Robbertse","J. Craig Venter Institute","FungiDB rel. 51, 2021-MAR-16","19","Genomes","tstiATCC10500_primary_genome_RSRC","DS_eef208d282","<i>Talaromyces stipitatus</i> ATCC 10500<br>","N/A","N/A","Barbara Robbertse","Genome sequence and annotation for <i>Talaromyces stipitatus</i> ATCC 10500.","genome","12629"
"<i>Apiotrichum montevideense</i> JCM 9937 Genome Sequence","2016-03-01","N/A","RIKEN","RIKEN Center for Life Science Technologies, Division of Genomic Technologies","FungiDB rel. 57, 2022-APR-21","57","Genomes","amonJCM9937_primary_genome_RSRC","DS_ef14b36372","<i>Apiotrichum montevideense</i> JCM 9937<br>","1497334","N/A","RIKEN","Genome Sequence of <i>Apiotrichum montevideense</i> JCM 9937","genome","N/A"
"SNP calls on Batrachochytrium dendrobatidis WGS (Hammersmith)","2012-09-11","Apollo","Rhys Farrer","University of Exeter","FungiDB rel. 46, 2019-NOV-06","46","Genetic variation","bdenJEL423_HTS_SNP_Fisher_Hammersmith_RSRC","DS_ef6f0a52dc","<i>Batrachochytrium dendrobatidis</i> JEL423<br>","23966879","N/A","Farrer et al. 2013","SNP calls on WGS analysis of <i>B. dendrobatidis</i> isolates collected from various species, countries, and continents.","isolates","N/A"
"SNP calls on WGS of six F. graminearum strains collected from wheat fields in France","2016-10-18","Apollo","Marie Foulongne-Oriol","INRA, UR1264 Mycologie et Sécurité des Aliments, Villenave d’Ornon cedex, France","FungiDB rel. 55, 2021-DEC-02","55","Genetic variation","fgraPH-1_HTS_SNP_Brankovics_6Fg_RSRC","DS_ef7873e854","<i>Fusarium graminearum</i> PH-1<br>","28231761","N/A","Laurent et al. 2017","Sequencing analysis of F. graminearum strains collected in France.","isolates","N/A"
"Transcriptional responses to macrophage phagocytosis","2021-12-21","Apollo","Michael C. Lorenz","Department of Microbiology & Molecular Genetics, University of Texas Health Science Center at Houston","FungiDB rel. 63, 2023-MAY-03","63","RNASeq","clusATCC42720_Clusitaniae_Pountain_2021_ebi_rnaSeq_RSRC","DS_ef796385a0","<i>Clavispora lusitaniae</i> ATCC 42720<br>","34903044","N/A","Pountain et al. 2021","Transcriptional responses to macrophage phagocytosis by Clavispora lusitaniae","transcript_expression","N/A"
"SNP calls on WGS of clinical strains from South African laboratory-based surveillance, 2005-2013","2022-05-25","Apollo","Serisha D. Naicker","Affiliations National Institute for Communicable Diseases, School of Pathology, University of the Witwatersrand","FungiDB rel. 63, 2023-MAY-03","63","Genetic variation","cdeuR265_HTS_SNP_Cg_SouthAf_PRJNA804139_RSRC","DS_efb78de9a4","<i>Cryptococcus gattii</i> VGII R265<br>","35767529","N/A","Naicker et al. 2022","Clinical <i>Cryptococcus gattii</i> strains from South African laboratory-based surveillance, 2005-2013.","isolates","N/A"
"<i>Pneumocystis jirovecii</i> RU7 Genome Sequence and Annotation","2015-12-22","N/A","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 57, 2022-APR-21","57","Genomes","pjirRU7_primary_genome_RSRC","DS_efbafbcb21","<i>Pneumocystis jirovecii</i> RU7<br>","26899007","N/A","Christina Cuomo","Genome Sequence and Annotation of <i>Pneumocystis jirovecii</i> RU7","genome","3811"
"<i>Aspergillus cristatus</i> GZAAS20.1005 Genome Sequence and Annotation","2016-08-31","Apollo","Zuoyi Liu","Guizhou Key Laboratory of Agricultural Biotechnology, Guiyang, Guizhou, 550006, China","FungiDB rel. 60, 2022-NOV-09","60","Genomes","acriGZAAS20.1005_primary_genome_RSRC","DS_eff0aa9d23","<i>Aspergillus cristatus</i> GZAAS20.1005<br>","27267057","N/A","Zuoyi Liu","Genome Sequence and Annotation of <i>Aspergillus cristatus</i> GZAAS20.1005","genome","10344"
"<i>Pneumocystis canis</i> CanA Genome Sequence and Annotation","2021-04-05","Apollo","Joseph A. Kovacs","NIH Clinical Center, Bethesda, MD USA","FungiDB rel. 55, 2021-DEC-02","55","Genomes","pcanCanA_primary_genome_RSRC","DS_f030a38781","<i>Pneumocystis canis</i> CanA<br>","33686174","N/A","Joseph A. Kovacs","Genome Sequence and Annotation of <i>Pneumocystis canis</i> CanA","genome","3113"
"<i>Ophiostoma piceae</i> UAMH 11346 Genome Sequence and Annotation","2015-03-22","Apollo","Colette Breuil","Department of Wood Science, University of British Columbia, Vancouver, Canada","FungiDB rel. 52, 2021-MAY-20","52","Genomes","opicUAMH11346_primary_genome_RSRC","DS_f0c7b5aa4a","<i>Ophiostoma piceae</i> UAMH 11346<br>","23725015","N/A","Colette Breuil","Genome Sequence and Annotation of <i>Ophiostoma piceae</i> UAMH 11346","genome","8884"
"<i>Pyricularia pennisetigena</i> Br36 Genome Sequence and Annotation","2019-03-19","Apollo","Meng-Yun Li","Biodiversity Research Center, Academia Sinica, Taipei, Taiwan","FungiDB rel. 65, 2023-SEP-14","65","Genomes","ppenBr36_primary_genome_RSRC","DS_f0e6778098","<i>Pyricularia pennisetigena</i> Br36<br>","30835262","N/A","Meng-Yun Li","Genome Sequence and Annotation of <i>Pyricularia pennisetigena</i> Br36","genome","11428"
"Neurospora Genome Project Phenotype Image Collection (knockout strain collection)","2018-03-19","Apollo","Jay C. Dunlap","Geisel School of Medicine, Dartmouth College, USA","FungiDB rel. 36, 2018-FEB-19","36","Phenotype","ncraOR74A_phenotype_GeneImage_NAFeaturePhenotypeImage_RSRC","DS_f10e32c6b8","<i>Neurospora crassa</i> OR74A<br>","16801547, 17352902, 21590422","N/A","Dunlap et al.","Systematic characterisation of colony growth and morphology of Neurospora crassa knock out mutants.","phenotype","N/A"
"<i>Trichosporon asahii</i> var. asahii CBS 2479 Genome Sequence and Annotation","2015-03-19","Apollo","Rong Ya Yang","General Hospital of Beijing Military Region, Department of Dermatology and Venereology, Beijing, China","FungiDB rel. 52, 2021-MAY-20","52","Genomes","tasaCBS2479_primary_genome_RSRC","DS_f20c645c6e","<i>Trichosporon asahii</i> var. asahii CBS 2479<br>","14641628, 23104369, 23193141","N/A","Rong Ya Yang","Genome Sequence and Annotation of <i>Trichosporon asahii</i> var. asahii CBS 2479","genome","8834"
"Transcriptional profiles induced by exposure to crystalline cellulose","2013-09-01_gus4","Apollo","Louise N. Glass","University of California, Berkeley","FungiDB rel. 3.0, 2014-MAY-08","21","RNASeq","ncraOR74A_Glass_CellulaseSecretion_ebi_rnaSeq_RSRC","DS_f210d58388","<i>Neurospora crassa</i> OR74A<br>","23766336","N/A","Coradetti et al. 2013","mRNA from wild type and clr-2/clrB mutants were collected after a culture shift from sucrose/glucose to Avicel (crystaline cellulose) or no carbon media.","transcript_expression","N/A"
"Manually Curated Phenotypes","N/A","Apollo","VEuPathDB","N/A","FungiDB rel. 54, 2021-SEP-08","54","Phenotype","(.*)_phenotype_VEuPathDB_curated_phenotype_RSRC","DS_f2312514ac","<i>Aspergillus fumigatus</i> Af293<br><i>Aspergillus nidulans</i> FGSC A4<br><i>Aspergillus niger</i> CBS 513.88<br><i>Aspergillus oryzae</i> RIB40<br><i>Cryptococcus gattii</i> WM276<br><i>Cryptococcus neoformans</i> var. grubii H99<br><i>Cryptococcus neoformans</i> var. neoformans JEC21<br><i>Fusarium graminearum</i> PH-1<br><i>Pyricularia oryzae</i> 70-15<br>","N/A","N/A","VEuPathDB","Manually curated phenotypes from VEuPathDB for selected fungal organisms","phenotype","N/A"
"<i>Coccidioides immitis</i> WA_211 Genome Sequence and Annotation","2019-07-01","N/A","Jason E. Stajich","Department of Plant Pathology and Microbiology, University of California, Riverside","FungiDB rel. 53, 2021-JUL-21","53","Genomes","cimmWA_211_primary_genome_RSRC","DS_f259fb660d","<i>Coccidioides immitis</i> WA_211<br>","31416856","N/A","Jason E. Stajich","Genome Sequence and Annotation of <i>Coccidioides immitis</i> WA_211","genome","7936"
"Strain specific A. fumigatus persistence in the murine lung","2016-05-01","Apollo","Robert Cramer","Department of Microbiology and Immunology, The Geisel School of Medicine at Dartmouth","FungiDB rel. 56, 2022-FEB-15","56","Genetic variation","afumAf293_HTS_SNP_Cramer_Afummurine_RSRC","DS_f280f1be3e","<i>Aspergillus fumigatus</i> Af293<br>","33597172","N/A","Jones et al. 2020","Characterisation of W72310 strain by WGS and comparison to a common reference strain, CEA10.","isolates","N/A"
"<i>Aspergillus eucalypticola</i> CBS 122712 Genome Sequence and Annotation","2018-06-04","Apollo","Mikael Andersen","Department of Biotechnology and Biomedicine, Technical University of Denmark","FungiDB rel. 58, 2022-JUN-23","58","Genomes","aeucCBS122712_primary_genome_RSRC","DS_f28dfc1390","<i>Aspergillus eucalypticola</i> CBS 122712<br>","30349117","N/A","Mikael Andersen","Genome Sequence and Annotation of <i>Aspergillus eucalypticola</i> CBS 122712","genome","12207"
