Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Release Policy,Short Attribution,Summary,Type,Genes,
Peptide arrays of individuals naturally exposed to Plasmodium,N/A,Apollo,Felix Löffler,"Max Planck Institute of Colloids and Interfaces, Potsdam, Germany","PlasmoDB rel. 46, 2019-NOV-06",46,Immunology,pfal3D7_microarrayAntibody_Loffler_Natural_Infection__RSRC,DS_8422fbca1c,<i>Plasmodium falciparum</i> 3D7<br>,30630936,N/A,Jaenisch et al.,"Clinically well-characterized serum samples from individuals living in the Nouna Health District, Burkina Faso, West Africa, were assayed on high density custom peptide arrays.",putative_function,N/A,
Asexual blood stage transcriptomes of clonal strains,1,Apollo,Alfred Cortés,ICREA and Barcelona Centre for International Health Research (CRESIB),"PlasmoDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,pfal3D7_microarrayExpression_E-MTAB-673_Transcrp_Variantome_3D7_RSRC,DS_84d52f99c7,<i>Plasmodium falciparum</i> 3D7<br>,22415456,N/A,Rovira-Graells et al.,Expression profiles of transcriptional variation between <i>Plasmodium falciparum</i> clonal strains (Cortes).,transcript_expression,N/A,
Parasite rupture from erythrocyte (D10),2/8/2010,Apollo,Paul William Bowyer,"Department of  Pathology, Stanford University School of Medicine","PlasmoDB rel. 1.0, 01-JAN-05",0,Protein expression,pfal3D7_massSpec_Bowyer_Post_Infection_RSRC,DS_85bd9b249b,<i>Plasmodium falciparum</i> 3D7<br>,20943600,N/A,Bowyer et al.,Proteome during parasite rupture from erythrocyte - <i>P. falciparum</i> clone D10,protein_expression,N/A,
Predicted full length transcripts (ESTs),9/26/2008,Apollo,Junichi Watanabe,"Department of Parasitology, Institute of Medical Science, University of Tokyo","PlasmoDB rel. 1.0, 01-JAN-05",0,EST,pfal3D7_EST_Watanabe_PredictedTranscripts_sequences_RSRC,DS_85d85fe697,<i>Plasmodium falciparum</i> 3D7<br>,17151081,N/A,Junichi Watanabe,<i>P. falciparum</i> 3D7 predicted full length transcript sequences.,EST,N/A,
P. knowlesi H TTAA sites,2024-03,Apollo,Kourosh Zarringhalam,"Department of Mathematics, University of Massachusetts Boston, Boston, MA, USA","PlasmoDB rel. 68, 2024-MAY-07",68,"Sequence sites, features and motifs",pknoH_Theoretical_TATA_sites_GFF_RSRC,DS_861dd66b38,<i>Plasmodium knowlesi</i> strain H<br>,N/A,N/A,Kourosh Zarringhalam,<i>Plasmodium knowlesi</i> genome-wide TTAA sites,feature,N/A,
Karolinska Institutet MTC Oligo Array,1,Apollo,Bobo Mok,"Parasitology, Karolinska Institutet, MTC","PlasmoDB rel. 1.0, 01-JAN-05",0,Array Probes,pfal3D7_microarrayPlatform_A-MEXP-75-MTC_KI_Plasmodium_falciparum_33k_RSRC,DS_869cc8a1dc,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,Bobo Mok,Probe sequences of the Karolinska Institutet MTC <i>P. falciparum</i> Oligo Array. Zoom to 20K or less to see the probe glyphs.,transcript_expression_platform,N/A,
<i>Plasmodium falciparum</i> 7G8 Genome Sequence and Annotation,4/20/2018,N/A,Matt Berriman,"Wellcome Sanger Institute, Hinxton, UK","PlasmoDB rel. 51, 2021-MAR-16",41,Genomes,pfal7G8_primary_genome_RSRC,DS_87081c7aae,<i>Plasmodium falciparum</i> 7G8<br>,29862326,N/A,Matt Berriman,Genome Sequence and annotation for <i>Plasmodium falciparum</i> 7G8,genome,5505,
<i>Plasmodium falciparum</i> KE01 Genome Sequence and Annotation,4/20/2018,N/A,Matt Berriman,"Wellcome Sanger Institute, Hinxton, UK","PlasmoDB rel. 51, 2021-MAR-16",41,Genomes,pfalKE01_primary_genome_RSRC,DS_87335f3dd3,<i>Plasmodium falciparum</i> KE01<br>,29862326,N/A,Matt Berriman,Genome Sequence and annotation for <i>Plasmodium falciparum</i> KE01,genome,5479,
<i>Plasmodium falciparum</i> KH02 Genome Sequence and Annotation,4/20/2018,N/A,Matt Berriman,"Wellcome Sanger Institute, Hinxton, UK","PlasmoDB rel. 51, 2021-MAR-16",41,Genomes,pfalKH02_primary_genome_RSRC,DS_87488c4d13,<i>Plasmodium falciparum</i> KH02<br>,29862326,N/A,Matt Berriman,Genome Sequence and annotation for <i>Plasmodium falciparum</i> KH02,genome,5554,
<i>Plasmodium knowlesi</i> strain H Genome Sequence and Annotation,9/1/2020,Apollo,GeneDB,"GeneDB, Wellcome Sanger Institute","PlasmoDB rel. 9.0, 2012-MAY-18",0,Genomes,pknoH_primary_genome_RSRC,DS_8793a259f4,<i>Plasmodium knowlesi</i> strain H<br>,18843368,N/A,GeneDB,Genome sequence and annotation for <i>Plasmodium knowlesi</i> H,genome,5502,
Intraerythrocytic development cycle transcriptome by UTR-Seq (2020),6/8/2020,Apollo,Manuel Llinas,Pennsylvania State University,"PlasmoDB rel. 56, 2022-FEB-15",56,RNASeq,pfal3D7_PfaI_DC_UTR_RNASeq_2020_ebi_rnaSeq_RSRC,DS_87e4fcafff,<i>Plasmodium falciparum</i> 3D7<br>,32513207,N/A,Chappell et al. 2020,"Transcriptome throughout the intraerythrocytic development cycle. RNA sequence analysis of 7 time points (0, 8, 16, 24, 32, 40, 48 hrs) post infection of tightly synchronized <i>Plasmodium falciparum</i> 3D7.",transcript_expression,N/A,
Transcript Profiling of Developmental Stages - High Producer (HP/HPE),1,Apollo,Andrew Waters,"Department of Parasitology, Leiden University","PlasmoDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,pberANKA_microarrayExpression_Waters_TimeSeries_HP-HPE_RSRC,DS_88b717761e,<i>Plasmodium berghei</i> ANKA<br>,15637271,N/A,Andrew Waters,"Expression data for <i>P. berghei</i> rings, young trophozoite, young schizont, mature schizont 
   using mature trophozoite as reference.",transcript_expression,N/A,
<i>Haemoproteus tartakovskyi</i> strain SISKIN1 Genome Sequence and Annotation,4/20/2016,Apollo,Gediminas Valkiunas,"Nature Research Centre, Vilnius, Lithuania","PlasmoDB rel. 59, 2022-AUG-30",52,Genomes,htarSISKIN1_primary_genome_RSRC,DS_895e7649a3,<i>Haemoproteus tartakovskyi</i> strain SISKIN1<br>,27190205,N/A,Gediminas Valkiunas,Genome Sequence and Annotation of <i>Haemoproteus tartakovskyi</i> strain SISKIN1,genome,5425,
Genetic Map,1,Apollo,Xin-zhuan Su,"National Institute of Allergy and Infectious Diseases, NIH","PlasmoDB rel. 1.0, 01-JAN-05",0,"Sequence sites, features and motifs",pfal3D7_genomeFeature_Su_Genetic_Map_GFF2_RSRC,DS_8a1f64fefa,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,Xin-zhuan Su,<i>P. falciparum</i> Genetic Map from Su Lab,feature,N/A,
Genome Survey Sequence Array probe sequences,1,Apollo,Andrew Waters,"Department of Parasitology, Leiden University","PlasmoDB rel. 1.0, 01-JAN-05",0,Array Probes,pberANKA_microarrayPlatform_WatersGSSOligos_RSRC,DS_8a399896eb,<i>Plasmodium berghei</i> ANKA<br>,15637271,N/A,Andrew Waters,Probe sequences from the <i>P. berghei</i> Genome Survey Sequence DNA microarray. Zoom to 20K or less to see the probe glyphs.,transcript_expression_platform,N/A,
Hypnozoite RNA-Seq,2/25/2018,Apollo,Sangeeta N. Bhatia,N/A,"PlasmoDB rel. 38, 2018-JUL-05",38,RNASeq,pvivP01_Bhatia_Hynozoite_ebi_rnaSeq_RSRC,DS_8a7d948d38,<i>Plasmodium vivax</i> P01<br>,29478773,N/A,Gural et al.,P. vivax hypnozoite RNA-Seq,transcript_expression,N/A,
<i>Plasmodium praefalciparum</i> strain G01 Genome Sequence and Annotation,3/25/2018,Apollo,Thomas Dan Otto,"Institute for Infection, Immunity and Inflammation, University of Glasgow","PlasmoDB rel. 60, 2022-NOV-09",36,Genomes,ppraG01_primary_genome_RSRC,DS_8b3f023c86,<i>Plasmodium praefalciparum</i> strain G01<br>,29784978,N/A,Thomas Dan Otto,Genome Sequence and annotation for <i>Plasmodium praefalciparum</i> strain G01,genome,6202,
Provisional gene annotations,3/25/2009,N/A,Stefan Kappe,Seattle Children’s Research Institute,"PlasmoDB rel. 1.0, 01-JAN-05",0,"Sequence sites, features and motifs",pyoeyoelii17XNL_unofficialGeneFeature_Kappe_GFF3_RSRC,DS_8b9a017a6e,<i>Plasmodium yoelii</i> yoelii 17XNL<br>,N/A,N/A,Stefan Kappe,"Annotation of the <i>P. yoelii</i> 17XNL genome obtained from Stefan Kappe, 2009-03-25. 
      Includes gene models inferred from orthology.",feature,N/A,
Blood stage transcriptome (3D7),1.0_gus4,Apollo,Chris I. Newbold,Weatherall Institute of Molecular Medicine,"PlasmoDB rel. 9.0, 2012-MAY-18",14,RNASeq,pfal3D7_Newbold_ebi_rnaSeq_RSRC,DS_8ecf65d1b7,<i>Plasmodium falciparum</i> 3D7<br>,20141604,N/A,Otto et al.,Transcriptome analysis of <i>P. falciparum</i> 3D7 at seven time points during the intraerythrocytic developmental cycle,transcript_expression,N/A,
Intraerythrocytic stages phosphoproteome (3D7),3/12/2013,Apollo,Debopam Chakrabarti,"Burnett School of Biomedical Sciences, University of Central Florida","PlasmoDB rel. 12.0, 2014-SEP-10",22,Protein expression,pfal3D7_massSpec_Chakrabarti_Phosphoproteome_RSRC,DS_90d577fd5f,<i>Plasmodium falciparum</i> 3D7<br>,23914800,N/A,Pease et al.,Phosphoproteomic analysis of <i>Plasmodium falciparum</i> 3D7 intraerythrocytic development,protein_expression,N/A,
Oligos (DeRisi),2,Apollo,Joseph L DeRisi,"Department of Biochemistry and Biophysics, University of California, San Francisco","PlasmoDB rel. 1.0, 01-JAN-05",0,Array Probes,pfal3D7_microarrayPlatform_derisi_RSRC,DS_90ded52457,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,Joseph L DeRisi,Probe sequences from the <i>P. falciparum</i> Oligos (DeRisi). Zoom to 20K or less to see the probe glyphs.,transcript_expression_platform,N/A,
P. berghei knockout (PlasmoGEM) growth phenotypes,2018-01,Apollo,Oliver Billker,Umeå University,"PlasmoDB rel. 36, 2018-FEB-19",36,Phenotype,pberANKA_phenotype_Bushnell_functional_profiling_RSRC,DS_90eea17ef6,<i>Plasmodium berghei</i> ANKA<br>,28708996,N/A,"Bushell, Gomes and Sanderson et al.","PlasmoGEM knockout vectors were used to measure growth rate phenotypes in mice for 2,578 <i>P. berghei</i> genes, representing more than half of its protein-coding genome.",generic_profiles,N/A,
<i>Plasmodium reichenowi</i> CDC Genome Sequence and Annotation,9/1/2020,Apollo,GeneDB,"GeneDB, Wellcome Sanger Institute","PlasmoDB rel. 68, 2024-MAY-07",0,Genomes,preiCDC_primary_genome_RSRC,DS_91fa338f8f,<i>Plasmodium reichenowi</i> CDC<br>,25203297,N/A,GeneDB,The draft genome of <i>Plasmodium reichenowi</i> CDC,genome,5995,
P. knowlesii A1H1 piggyBAC Insertion Sites,2024-04,N/A,John Adams,University of South Florida,"PlasmoDB rel. 68, 2024-MAY-07",68,N/A,pknoA1H1_piggyBAC_Insertion_sites_RSRC,DS_93e1d8e4e4,<i>Plasmodium knowlesi</i> strain A1H1<br>,N/A,N/A,John Adams,JBrowse track showing coverage of sequence retrieved from supersaturation transposon insertion mutagenesis. Peaks represent piggyBac insertion sites.,N/A,N/A,
Histone epigenome of <i>Plasmodium vivax</i> salivary-gland sporozoites,5/7/2019,Apollo,Aaron Jex,Walter and Eliza Hall Institute of Medical Research and University of Melbourne,"PlasmoDB rel. 46, 2019-NOV-06",46,CHIP Seq,pvivP01_Muller_Sporozoite_Epigenome_chipSeq_RSRC,DS_941b6ce4a6,<i>Plasmodium vivax</i> P01<br>,31071319,N/A,Muller et al.,"Histone epigenome of <i>Plasmodium vivax</i> salivary-gland sporozoites determined by ChIP Seq analysis via H3K9me3, H3K4me3, H3K9ac, H4K16ac chromatin precipitations.",transcript_expression,N/A,
Proteome and phosphoproteome during intraerythrocytic development (Quantitative),2013-03-12_gus4,Apollo,Debopam Chakrabarti,"Burnett School of Biomedical Sciences, University of Central Florida","PlasmoDB rel. 11.0, 2014-MAY-08",21,Protein expression,pfal3D7_quantitativeMassSpec_Chakrabarti_Phosphoproteome_RSRC,DS_949177cf0f,<i>Plasmodium falciparum</i> 3D7<br>,23914800,N/A,Pease et al.,"Proteomic analysis of protein expression and phosphorylation of 
    three stages of Plasmodium falciparum intraerythrocytic development",protein_expression,N/A,
BIHPPf3D7 (A-MEXP-1407),1,Apollo,Jose-Juan Lopez-Runio,Institut Pasteur,"PlasmoDB rel. 1.0, 01-JAN-05",0,Array Probes,pfal3D7_chipChipPlatform_A-MEXP-1407-BIHPPf3D7_RSRC,DS_96bce0d1ec,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,Jose-Juan Lopez-Runio,BIHPPf3D7 (A-MEXP-1407). Zoom to 20K or less to see the probe glyphs.,transcript_expression_platform,N/A,
Salivary gland sporozoite transcriptomes: WT vs. Puf2-KO mapped to P. yoelii yoelii 17XNL,2/27/2013,N/A,Stefan Kappe,Seattle Children’s Research Institute,"PlasmoDB rel. 67, 2024-FEB-21",67,RNASeq,pyoeyoelii17XNL2023_Py17XNL2023_sporozoite_WT_Puf2_RNASeq_ebi_rnaSeq_RSRC,DS_994bd12403,<i>Plasmodium yoelii</i> yoelii 17XNL 2023<br>,23356439,N/A,Lindner et al. 2013,Salivary gland sporozoite transcriptomes: WT vs. Puf2-KO mapped to P. yoelii yoelii 17XNL,transcript_expression,N/A,
<i>Plasmodium ovale</i> curtisi GH01 Genome Sequence and Annotation,9/1/2020,Apollo,Thomas Dan Otto,"Institute for Infection, Immunity and Inflammation, University of Glasgow","PlasmoDB rel. 68, 2024-MAY-07",30,Genomes,povaGH01_primary_genome_RSRC,DS_99a2d5bf10,<i>Plasmodium ovale</i> curtisi GH01<br>,28117441,N/A,Thomas Dan Otto,Genome Sequence and Annotation of <i>Plasmodium ovale</i> curtisi GH01,genome,7311,
Genome-wide HP1 occupancy in P chabaudi schizonts,8/15/2017,Apollo,Richard Bartfai and Till Voss,Radboud University and University of Basel,"PlasmoDB rel. 42, 2019-MAR-07",42,CHIP Seq,pchachabaudi_Fraschka_PcAS_HP1_chipSeq_RSRC,DS_99ead1d783,<i>Plasmodium chabaudi</i> chabaudi<br>,29503181,N/A,Fraschka et al.,Genome-wide occupancy of HP1 in <i>P. chabaudi</i> AS schizonts,transcript_expression,N/A,
Trophozoite transcriptomes after mosquito transmission or direct injection into mice,2012-11-28_gus4,Apollo,Jean Langhorne,"Division of Parasitology, MRC National Institute for Medical Research (NIMR), Mill Hill","PlasmoDB rel. 13.0, 2015-JAN-14",23,RNASeq,pchachabaudi_Mosquito_And_Blood_Transmitted_ebi_rnaSeq_RSRC,DS_9a17bf412d,<i>Plasmodium chabaudi</i> chabaudi<br>,23719378,N/A,Spence et al.,"Illumina mRNA-Seq of <i>P. chabaudi</i> chabaudi AS trophozoites isolated from mice that were infected 
      with serial blood passaged parasites via 
      mosquito bite or direct injection of parasitized erythrocytes.",transcript_expression,N/A,
Aligned genomic sequence reads - P. falciparum from 100 Genomes project,11/14/2013,Apollo,Daniel E. Neafsey,"Harvard University & BROAD Institute, Cambridge, MA, USA","PlasmoDB rel. 13.0, 2015-JAN-14",23,Genetic variation,pfal3D7_HTS_SNP_Broad_100_genomes_RSRC,DS_9a7f849906,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,Daniel E. Neafsey,"Illumina whole genome shotgun sequencing of genomic DNA paired-end libraries of 55 <i>P. falciparum</i> isolates. The data 
    were used to call single nucleotide polymorphisms.",isolates,N/A,
The Worldwide Protein Data Bank (wwPDB),12/21/2020,N/A,RCSB PDB,Rutgers and UCSD,"PlasmoDB rel. 1.0, 01-JAN-05",0,Protein Structure,PDBProteinSequences_RSRC,DS_9ab85137b0,<br>,"10592235, 14634627, 23023942",N/A,RCSB PDB,PDB proteins of known 3-dimensional structure,external_sequences,N/A,
Transcriptomes of viable ApiAP2 mutants by directional RNA-seq,1/11/2017,Apollo,Oliver Billker,Umeå University,"PlasmoDB rel. 53, 2021-JUL-21",53,RNASeq,pberANKA_Modrzynska_ApiAP2_KO_ebi_rnaSeq_RSRC,DS_9b450524d1,<i>Plasmodium berghei</i> ANKA<br>,28081440,N/A,Modrzynska et al.,Transcriptomes of viable ApiAP2 mutants by directional RNA-seq,transcript_expression,N/A,
MetaCyc Metabolic Pathway Database,2022.18.10,N/A,BioCyc Database Collection,N/A,"PlasmoDB rel. 1.0, 01-JAN-05",0,Metabolic pathways,Pathways_MetaCyc_RSRC,DS_9c4bcfb00e,<br>,26527732,N/A,BioCyc Database Collection,Metacyc is a curated database of experimentally elucidated metabolic pathways from all domains of life.,pathway,N/A,
Trophozoite and Schizont transcriptomes of PfBDP1HA,6/10/2015,Apollo,Michael F.Duffy,University of Melbourne,"PlasmoDB rel. 49, 2020-NOV-05",49,RNASeq,pfal3D7_Josling_Schizont_Transcriptomes_ebi_rnaSeq_RSRC,DS_9c91e450ac,<i>Plasmodium falciparum</i> 3D7<br>,26067602,N/A,Josling et al 2015,RNA-Seq transcriptomes of trophozoite and schizont stage parasites expressing HA tagged PfBDP1,transcript_expression,N/A,
Malaria P19 oligos (GPL3983),1,Apollo,Joseph L DeRisi,"Department of Biochemistry and Biophysics, University of California, San Francisco","PlasmoDB rel. 1.0, 01-JAN-05",0,Array Probes,pfal3D7_microarrayPlatform_GPL3983-malaria_oligo_p19_RSRC,DS_9dbcd53438,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,Joseph L DeRisi,Probe sequences from the <i>P. falciparum</i> Malaria P19 oligos (GPL3983). Zoom to 20K or less to see the probe glyphs.,transcript_expression_platform,N/A,
Intraerythrocytic cycle expression profile: in vitro and ex vivo (Pkno PK1(A+)),6/28/2017,Apollo,Zbynek Bozdech,"School of Biological Sciences, Nanyang Technological University","PlasmoDB rel. 34, 2017-SEP-07",34,DNA Microarray Assay,pknoH_microarrayExpression_Pkno_iRBC_Bozdech_RSRC,DS_9ec3204249,<i>Plasmodium knowlesi</i> strain H<br>,25880967,N/A,Lapp et al.,Expression profiles of <i>Plasmodium knowlesi</i> Pk1(A+) intraerythrocytic cycle: <i>in vitro</i> and <i>ex vivo</i>.,transcript_expression,N/A,
<i>Plasmodium adleri</i> G01 Genome Sequence and Annotation,11/29/2017,Apollo,Thomas Dan Otto,"Institute for Infection, Immunity and Inflammation, University of Glasgow","PlasmoDB rel. 51, 2021-MAR-16",36,Genomes,padlG01_primary_genome_RSRC,DS_9f2c561c52,<i>Plasmodium adleri</i> G01<br>,29784978,N/A,Thomas Dan Otto,Genome Sequence and annotation for <i>Plasmodium adleri</i> G01,genome,5566,
<i>Plasmodium vivax</i> PvSY56 Genome Sequence,8/17/2018,N/A,Beatrice Hahn,"Perelman School of Medicine, University of Pennsylvania","PlasmoDB rel. 55, 2021-DEC-02",55,Genomes,pvivPvSY56_primary_genome_RSRC,DS_9fd723f1a3,<i>Plasmodium vivax</i> PvSY56<br>,30127015,N/A,Beatrice Hahn,Genome Sequence of <i>Plasmodium vivax</i> strain PvSY56,genome,N/A,
Sporozoite Expression Profiles,1,Apollo,Scott Westenberger,The Scripps Research Institute,"PlasmoDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,pvivP01_microarrayExpression_Westenberger_array_RSRC,DS_a0e6725e34,<i>Plasmodium vivax</i> P01<br>,20386602,N/A,Scott Westenberger,Westenberger P vivax Expression Data,transcript_expression,N/A,
EST library,11/2/2006,Apollo,Junichi Watanabe,"Department of Parasitology, Institute of Medical Science, University of Tokyo","PlasmoDB rel. 1.0, 01-JAN-05",0,EST,pyoeyoelii17X_EST_WatanabePy17XL_EstLibrary_sequences_RSRC,DS_a233fc1aa6,<i>Plasmodium yoelii</i> yoelii 17X<br>,17151081,N/A,Junichi Watanabe,<i>P. yoelii</i> 17XL EST library.,EST,N/A,
Transcriptome during intraerythrocytic development,03-12-2010_gus4,Apollo,Henk Stunnenberg,"Radboud University Nijmegen, The Netherlands","PlasmoDB rel. 1.0, 01-JAN-05",0,RNASeq,pfal3D7_Stunnenberg_ebi_rnaSeq_RSRC,DS_a239464cb4,<i>Plasmodium falciparum</i> 3D7<br>,21187892,N/A,Bartfai et al.,"<i>P. falciparum</i> 3D7 transcriptome during intraerythrocytic development. Synchronized parasites
      were assayed by RNA-Seq at 8 time-points during the iRBC cycle.",transcript_expression,N/A,
Transcriptome of P. cynomolgi during 100-day infection in M. mulatta,5/8/2017,Apollo,Mary R Galinski,Emory University,"PlasmoDB rel. 37, 2018-APR-25",37,RNASeq,pcynM_Galinski_infected_Mmulatta_ebi_rnaSeq_RSRC,DS_a2967e5664,<i>Plasmodium cynomolgi</i> strain M<br>,27590312,N/A,Joyner et al.,<i>P. cynomolgi</i> transcriptome of whole blood and bone marrow collected during 100-day infection of <i>M. mulatta</i>,transcript_expression,N/A,
Protein interaction network,1,Apollo,Doug LaCount,Purdue University,"PlasmoDB rel. 1.0, 01-JAN-05",0,Y2H interactions,pfal3D7_interaction_LaCount_y2h_RSRC,DS_a32b0bf684,<i>Plasmodium falciparum</i> 3D7<br>,16267556,N/A,Doug LaCount,Protein interaction network for <i>P. falciparum</i> derived from yeast two-hybrid studies.,interaction,N/A,
Long-lived merozoite proteome,12/7/2017,Apollo,David L. Narum,"Laboratory of Malaria Immunology and Vaccinology, NIAID","PlasmoDB rel. 29, 2016-OCT-12",29,Protein expression,pfal3D7_quantitativeMassSpec_Merozoite_Prot_RSRC,DS_a3bd8c5978,<i>Plasmodium falciparum</i> 3D7<br>,29215067,N/A,Kumar et al.,Proteomes of P. falciparum FVO wild-type vs long-lived merozoite cell lines.,protein_expression,N/A,
Genome-wide HP1 occupancy in Pk A1-C.1 and Pk A1-H.1 schizonts,8/15/2017,Apollo,Richard Bartfai and Till Voss,Radboud University and University of Basel,"PlasmoDB rel. 42, 2019-MAR-07",42,CHIP Seq,pknoH_Fraschka_Pk_HP1_chipSeq_RSRC,DS_a49c437a4e,<i>Plasmodium knowlesi</i> strain H<br>,29503181,N/A,Fraschka et al.,Genome-wide occupancy of HP1 in schizonts from <i>P. knowlesi</i> A1-C.1 and A1-H.1.,transcript_expression,N/A,
Gametocyte Transcriptomes,2/19/2016,Apollo,Richard Bartfai,"Department of Molecular Biology, Radboud University, ,","PlasmoDB rel. 30, 2017-FEB-03",30,RNASeq,pfal3D7_Lasonder_Bartfai_Gametocytes_ebi_rnaSeq_RSRC,DS_a518f45975,<i>Plasmodium falciparum</i> 3D7<br>,27298255,N/A,Lasonder et al.,Directional RNA-Seq data from <i>P. falciparum</i> NF54 for female and male gameocyte samples.,transcript_expression,N/A,
P. yoelii yoelii 17XNL mixed blood stage long read RNA-Seq,2023_08,Apollo,Scott E. Lindner,Pennsylvania State University,"PlasmoDB rel. 66, 2023-NOV-28",66,LongReadRNASeq,pyoeyoelii17X_Scott_Lindner_nanopore_rnaSeqNextflow_RSRC,DS_a59159a754,<i>Plasmodium yoelii</i> yoelii 17X<br>,37247760,N/A,Godin et al. 2023,Transcriptome (Nanopore RNA-Seq) of <i>P. yoelii</i> 17XNL.,longRead_transcript_expression,N/A,
The GenBank Non-Redundant Protein Sequence Database (NRDB),12/21/2020,N/A,NRDB,NCBI,"PlasmoDB rel. 1.0, 01-JAN-05",0,Genomes and Annotation,NRDB_RSRC,DS_a7163a9f0d,<br>,N/A,N/A,NRDB,"The GenBank non-redundant protein sequence database (NRDB) is a component of the NCBI BLAST databases 
         and contains entries from GenPept, Swissprot, PIR, PDF, PDB and NCBI RefSeq.",external_sequences,N/A,
Long non-coding RNA for P. falciparum,4/25/2022,Apollo,Adam Reid,"Wellcome/CRUK Gurdon Institute: Cambridge, GB","PlasmoDB rel. 59, 2022-AUG-30",59,"Sequence sites, features and motifs",pfal3D7_Hoshizaki_lncRNA_GFF_RSRC,DS_a7ac79e502,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,Adam Reid,Long non-coding RNA sequences created using long-read sequencing and manual curation,feature,N/A,
OrthoMCL Ortholog Groups,6r21,N/A,David S. Roos,"Department of Biology, University of Pennsylvania","PlasmoDB rel. 1.0, 01-JAN-05",0,Orthology and synteny,OrthoMCL_RSRC,DS_a8f4849fb9,<br>,"12952885, 16381887",N/A,David S. Roos,Ortholog group assignments as predicted by OrthoMCL,orthology,N/A,
<i>Plasmodium inui</i> San Antonio 1 Genome Sequence and Annotation,1/31/2014,Apollo,The Broad Institute of MIT and Harvard,The Broad Institute of MIT and Harvard,"PlasmoDB rel. 51, 2021-MAR-16",30,Genomes,pinuSanAntonio1_primary_genome_RSRC,DS_a9b5b294ad,<i>Plasmodium inui</i> San Antonio 1<br>,N/A,N/A,The Broad Institute of MIT and Harvard,Sequence and annotation for <i>Plasmodium inui</i> strain San Antonio 1,genome,5879,
Salivary gland sporozoite total and surface proteome (17XNL),12/16/2016,Apollo,Scott E. Lindner,Pennsylvania State University,"PlasmoDB rel. 32, 2017-APR-20",32,Protein expression,pyoeyoelii17X_massSpec_Sporozoite_Surface_Proteome_RSRC,DS_aaa667e298,<i>Plasmodium yoelii</i> yoelii 17X<br>,"23325771, 27714937, 31673027",N/A,El-Manzalawy et al.,<i>P yoelii</i> 17XNL sporozoite total and surface proteomes (2013) as well as PlasmoSEP surface proteomes (2016),protein_expression,N/A,
Transcriptome in severe vs uncomplicated malaria,3/12/2018,Apollo,Michael F.Duffy,University of Melbourne,"PlasmoDB rel. 51, 2021-MAR-16",51,RNASeq,pfal3D7_Tonkin_Hill_Malaria_ebi_rnaSeq_RSRC,DS_aae60e6bf7,<i>Plasmodium falciparum</i> 3D7<br>,29529020,N/A,Tonkin-Hill et al 2018,"RNA sequencing analysis of gene expression in 44 parasite isolates that caused severe or uncomplicated malaria in Papuan patients (23 severe, 21 uncomplicated cases).",transcript_expression,N/A,
IDC in SR10KO and WT (2020),6/2/2020,Apollo,Arnab Pain,King Abdullah University of Science and Technology,"PlasmoDB rel. 57, 2022-APR-21",57,RNASeq,pchachabaudi_pchachabaudi_SR10KOvWT_Subudhi_RSRC_ebi_rnaSeq_RSRC,DS_ab772b084e,<i>Plasmodium chabaudi</i> chabaudi<br>,32488076,N/A,Subudhi et al. 2020,RNA seq analysis of intraerythrocytic development cycle in <i>P. chabaudi</i> AS in SR10KO and WT cells.,transcript_expression,N/A,
Aligned genomic sequence reads - Field and monkey adapted Isolates,9/14/2012,Apollo,David Serre,"Department of Microbiology and Immunology, University of Maryland School of Medicine","PlasmoDB rel. 30, 2017-FEB-03",30,Genetic variation,pvivP01_HTS_SNP_Field_Isolates_QuerySRA_RSRC,DS_ac6c552bd5,<i>Plasmodium vivax</i> P01<br>,"22970335, 24340114",N/A,David Serre,"Whole genome sequencing of <i>P. vivax</i> isolates obtained from Malagasy and Cambodian patients, and of the Belem, Chesson and Sal I strains.",isolates,N/A,
Merozoite phosphoproteome (3D7),9/15/2014,Apollo,Edwin Lasonder,"School of Biomedical and Healthcare Sciences, Plymouth University","PlasmoDB rel. 13.0, 2015-JAN-14",23,Protein expression,pfal3D7_massSpec_Lasonder_Merozoite_Phosphoproteome_RSRC,DS_acb52ee82f,<i>Plasmodium falciparum</i> 3D7<br>,25886026,N/A,Lasonder et al.,Phosphoproteomic analysis of <i>Plasmodium falciparum</i> 3D7 merozoites,protein_expression,N/A,
<i>Plasmodium vivax</i> P01 Genome Sequence and Annotation,9/1/2020,Apollo,GeneDB,"GeneDB, Wellcome Sanger Institute","PlasmoDB rel. 68, 2024-MAY-07",29,Genomes,pvivP01_primary_genome_RSRC,DS_ad07e73d42,<i>Plasmodium vivax</i> P01<br>,"28008421, 33028892",N/A,GeneDB,Genome sequence and annotation for <i>Plasmodium vivax</i> P01,genome,6861,
