Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Short Attribution,Summary,Type,Genes,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 2006",7/26/2019,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000518_RSRC,DS_d8b241690a,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 2006. (MapVEu VBP0000518),population_biology,N/A,,,,
"RNA-Seq from male and female Anopheles coluzzii, Anopheles arabiensis, Anopheles quadriannulatus, and their hybrids.",Jan-20,N/A,Kevin C Deitz,"Department of Entomology, Texas A&M University.; Department of Ecology and Evolutionary Biology and The Lewis-Sigler Institute for Integrative Genomics, Princeton University","VectorBase rel. 47, 2020-APR-07",47,RNASeq,aaraDongola_SRP150554_ebi_rnaSeq_RSRC,DS_d8ee28cfe0,<i>Anopheles arabiensis</i> Dongola<br>,29860336,Deitz et al.,RNA-Seq of member species of the Anopheles gambiae species complex and their F1 hybrids.,transcript_expression,N/A,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 2015",6/18/2019,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000477_RSRC,DS_d91669b7ad,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 2015. (MapVEu VBP0000477),population_biology,N/A,,,,
"Larval exposure to four bacteria treatments: Carry-over effects in larvae, pupae, and adults",3/31/2022,Apollo,Louis Lambrechts,"Insect-Virus Interactions Unit, Institut Pasteur","VectorBase rel. 61, 2022-DEC-15",61,RNASeq,aaegLVP_AGWG_Giraud_Mosquito_bacteria_2021_ebi_rnaSeq_RSRC,DS_d9d6bda0c7,<i>Aedes aegypti</i> LVP_AGWG<br>,34905257,Giraud et al 2021,"Larvae were reared under gnotobiotic conditions in mono-association (i.e., sterile larvae subsequently exposed to a single bacterial isolate) until the pupal stage, after which adult mosquitoes were maintained and tested under standard (nonsterile) insectary conditions.",transcript_expression,N/A,,,,
The salivary transcriptome of Anopheles gambiae (Diptera: Culicidae) larvae: A microarray-based analysis,1/24/2013,Apollo,Paul J. Linser,"The Whitney Laboratory for Marine Bioscience, University of Florida","VectorBase rel. 47, 2020-APR-07",47,DNA Microarray Assay,agamPEST_microarrayExpression_GSE9642_salivary_glands_RSRC,DS_d9f7e62d2e,<i>Anopheles gambiae</i> PEST<br>,19328852,Neira Oviedo et al.,The expression profiles of Anopheles gambiae larval salivary glands vs whole larvae are compared using the Affymetrix Anopheles/Plasmodium microarray.,transcript_expression,N/A,,,,
"Mosquito surveillance in Anastasia (BG-Sentinel), Saint Johns County, Florida, USA. 2015",6/21/2018,N/A,Richard Weaver,Anasatasia Mosquito Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000292_RSRC,DS_da428f5627,<br>,N/A,Richard Weaver,Mosquito surveillance from the Anastasia Mosquito Control District program to survey mosquito populations. (MapVEu VBP0000292),population_biology,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 1981 (New Jersey light trap)",3/11/2019,N/A,Ryan Smith,Iowa State University,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000425_RSRC,DS_da7ef66145,<br>,"18714883, 25102595, 31036953",Ryan Smith,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000425)",population_biology,N/A,,,,
Male and female adults from a resistant strain,8/23/2016,Apollo,Yadan Luo,Nanjing Medical University,"VectorBase rel. 68, 2024-MAY-07",68,RNASeq,asinChina_SRP082548_ebi_rnaSeq_RSRC,DS_dae97d02f6,<i>Anopheles sinensis</i> China<br>,N/A,"Yadan Luo 2016, unpublished",Male and female adults from a resistant strain (one biological replicate).,transcript_expression,N/A,,,,
A combination of metabolic resistance and high frequency of the 1014F kdr mutation is driving pyrethroid resistance in Anopheles coluzzii population from Guinea savanna of Cameroon,1/20/2021,N/A,Sulaiman S Ibrahim,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000717_RSRC,DS_db1bb89fb5,<br>,31133042,Sulaiman S Ibrahim,"As a contribution towards understanding patterns of resistance and its mechanism in the field characterization of a population of Anopheles gambiae (s.l.) from Gounougou, a Guinea savanna of north/central Cameroon was conducted. (MapVEu VBP0000717)",population_biology,N/A,,,,
"Heartland Virus in Lone Star Ticks, Alabama, USA",2022,N/A,C Brent Newman,N/A,"VectorBase rel. 62, 2023-MAR-09",62,N/A,ISATab_VBP0000826_RSRC,DS_db6d6e8a70,<br>,32687045,C Brent Newman,"Lone Star tick collections, Alabama, USA",population_biology,N/A,,,,
Mosquito cell lines Aag2 and CCL-125,2/19/2014,Apollo,Daniel E. Neafsey,"Harvard University & BROAD Institute, Cambridge, MA, USA","VectorBase rel. 64, 2023-JUL-12",64,RNASeq,aaegLVP_AGWG_Neafsey_Aeaegypti_celllines_2014_ebi_rnaSeq_RSRC,DS_dba68c637d,<i>Aedes aegypti</i> LVP_AGWG<br>,N/A,"Neafsey et al 2014, unpublished",Unpublished transcriptome sequencing of Ae. aegypti Aag2 and CC-125 cell lines,transcript_expression,N/A,,,,
Distribution and abundance of key vectors of Rift Valley fever and other arboviruses in two ecologically distinct counties in Kenya,1/24/2018,N/A,Rosemary Sang,"International Centre of Insect Physiology and Ecology, Nairobi, Kenya","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000222_RSRC,DS_dc08f0effb,<br>,28212379,Rosemary Sang,"Mosquitoes were trapped during short and long rainy seasons in 2014 and 2015 using CO2 baited CDC light traps in two counties which differ in RVF epidemic risk levels(high risk Tana-River and low risk Isiolo),cryo-preserved in liquid nitrogen, transported to the laboratory, and identified to species. Mosquito pools were analyzed for virus infection using cell culture screening and molecular analysis. (MapVEu VBP0000222)",population_biology,N/A,,,,
AlphaFold Predictions,AlphaFold-release4,N/A,AlphaFold,EMBL-EBI,"VectorBase rel. 60, 2022-NOV-09",60,Protein Structure,alphaFold_RSRC,DS_dc1c8cb24c,<br>,"34265844, 34791371",AlphaFold,AlphaFold is an artificial intelligence created by DeepMind that predicts protein structure from amino acid sequences. AlphaFold has worked with EMBL-EBI to create a publicly available database of structural predictions.,function,N/A,,,,
"Mosquito surveillance in City of Suffolk, Virginia, USA. 23434, 2014",9/3/2019,N/A,Karen Akaratovic,City of Suffolk Mosquito Control,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000542_RSRC,DS_dc2b877ab4,<br>,N/A,Karen Akaratovic,Mosquito surveillance from City of Suffolk Mosquito Control 2014. (MapVEu VBP0000542),population_biology,N/A,,,,
Ixodes ricinus naive (unfed) female midgut,10/28/2015,Apollo,Claude P. Muller,"Department of Infection and Immunity, Luxembourg Institute of Health","VectorBase rel. 61, 2022-DEC-15",61,RNASeq,iscaPalLabHiFi_Cramaro_Naive_Midgut_ebi_rnaSeq_RSRC,DS_dc3eab741f,<i>Ixodes scapularis</i> PalLabHiFi<br>,26510422,Cramaro et al 2015,Midgut transcriptome from unfed (naive) <i>Ixodes ricinus</i> females.  Data were aligned to <i>Ixodes scapularis</i> Wikel genome.,transcript_expression,N/A,,,,
302 wild-caught individuals from Cambodia,1,Apollo,Brandy St Laurent,N/A,"VectorBase rel. 59, 2022-AUG-30",59,Genetic variation,aminMINIMUS1_Cambodia_wild_caught_ebi_VCF_RSRC,DS_dc54305595,<i>Anopheles minimus</i> MINIMUS1<br>,N/A,Brandy St Laurent,Whole-genome sequencing of 302 wild-caught An. minimus collected from Cambodia,isolates,N/A,,,,
"Mosquito viral surveillance, Northwest Mosquito and Vector Control District, in California, USA, 2017",2/27/2019,N/A,Angela Caranci,Northwest Mosquito and Vector Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000397_RSRC,DS_dcc54133e9,<br>,N/A,Angela Caranci,"Mosquito viral surveillance, Northwest Mosquito and Vector Control District, in California, USA, 2017. (MapVEu VBP0000397)",population_biology,N/A,,,,
"Developmental stages, ovaries and carcass",Jan-20,Apollo,Zhijian Tu,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","VectorBase rel. 47, 2020-APR-07",47,RNASeq,aaegLVP_AGWG_SRP009679_ebi_rnaSeq_RSRC,DS_dcde6b4ec9,<i>Aedes aegypti</i> LVP_AGWG<br>,N/A,"Tu et al 2012, unpublished","RNA-Seq was used for transcriptome sequencing of 11 samples covering various life stages and tissues from the yellow fever mosquito Ae. aegypti. Overall design: RNA was isolated from described samples for RNA-Seq. Samples included four embryonic time points from 0-12 hr, larvae, pupae, adult males, 0-1 day old ovaries, ovaries from 24 post blood fed females, and 24 hr post blood fed female carcass (ovaries extirpated). Raw data not available for GSM847403, GSM847404, GSM847405, and GSM847406",transcript_expression,N/A,,,,
Chetumal and Rex-D strains under blood- or sugar- fed conditions,Jan-20,Apollo,Anthony James,"Molecular Biology and Biochemistry, University of California, Irvine","VectorBase rel. 47, 2020-APR-07",47,RNASeq,aaegLVP_AGWG_SRP008153_ebi_rnaSeq_RSRC,DS_dcf1fcf216,<i>Aedes aegypti</i> LVP_AGWG<br>,22384387,Bonizzoni et al 2012,Strain variation from Puerto Rico strain under blood- vs sugar- fed conditions: Chetumal (CTM) and Rexville D-Puerto Rico (Rex-D). CTM is more susceptible than Rex- D to infection by dengue virus serotype 2.,transcript_expression,N/A,,,,
mRNA-microRNA Analysis of Sarcoptes scabiei and host immune interactions,Jan-20,Apollo,Ran He,"College of Veterinary Medicine, Sichuan Agricultural University","VectorBase rel. 47, 2020-APR-07",47,RNASeq,sscaArlian_SRP074808_ebi_rnaSeq_RSRC,DS_dcfc987a90,<i>Sarcoptes scabiei</i> Arlian<br>,N/A,Ran He,"In this study, the transcriptome and microRNA comprehensive analysis to resolve the interaction of <i>Sarcoptes scabiei </i>and host for the first time, with the differentially expressed transcripts and microRNAs in response to infection.",transcript_expression,N/A,,,,
RNA-Seq of Ixodes persulcatus,2/17/2022,Apollo,Na Jia,"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology","VectorBase rel. 66, 2023-NOV-28",66,RNASeq,iperIper2018_iperIper2018_illumina_RNASeq_ebi_rnaSeq_RSRC,DS_dd1df35b51,<i>Ixodes persulcatus</i> Iper-2018<br>,35250897,Liang-Jing Li et al. 2022,RNA-Seq of Ixodes persulcatus naturally fed on patients,transcript_expression,N/A,,,,
"Knockdown resistance of Anopheles sinensis in
Henan province, China",7/11/2016,N/A,Hong-wei Zhang,"Department of Parasite Disease Control and Prevention, Henan Center for Disease Control and Prevention, Zhengzhou, 450016, P. R. China","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000134_RSRC,DS_dd25cd5497,<br>,25890038,Hong-wei Zhang,Molecular identification of Anopheles species was conducted by PCR amplifying ITS2. Part of the IIS6 domain of the para-type sodium channel protein gene was PCR-amplified and directly sequenced. Frequency and geographic difference of kdr gene mutant types were analysed. (MapVEu VBP0000134),population_biology,N/A,,,,
Unraveling the Plasmodium vivax sporozoite transcriptional journey from mosquito vector to human host,Jan-20,Apollo,Geo Curators,NCBI,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,adirWRAIR2_SRP154910_ebi_rnaSeq_RSRC,DS_dd43947c28,<i>Anopheles dirus</i> WRAIR2<br>,N/A,Geo Curators,"Malaria parasites transmitted by mosquito bite are remarkably efficient in establishing human infections. The infection process requires ~30 minutes and is highly complex as quiescent sporozoites injected with mosquito saliva must be rapidly activated in the skin, migrate through the body, and infect the liver. This process is poorly understood for Plasmodium vivax due to low infectivity in the in vitro models. To study this skin-to-liver stage of malaria, we developed quantitative bioassays coupled with transcriptomics to evaluate parasite changes linked with mammalian microenvironmental factors. Our in vitro phenotype and RNA-Seq analyses revealed key microenvironmental relationships with distinct biological functions. M ost notable, preservation of sporozoite quiescence by exposure to insect-like factors coupled with strategic activation limits untimely activation of invasion-associated genes to dramatically increase hepatocyte invasion rates. We also report the first transcriptomic analysis of the P. vivax sporozoite interaction in salivary glands identifying 118 infection-related differentially-regulated Anopheles dirus genes. These results provide important new insights in malaria parasite biology and identify priority targets for antimalarial therapeutic interventions to block P. vivax infection.",transcript_expression,N/A,,,,
"Agro-ecosystems impact malaria prevalence\:\"" large-scale irrigation drives vector population in western Ethiopia""",10/6/2020,N/A,Sharon Hill,"Department of Plant Protection Biology, Unit of Chemical Ecology, Swedish University of Agricultural Sciences, Alnarp, Sweden","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000684_RSRC,DS_dd5d7125b6,<br>,N/A,Sharon Hill,"In three villages in western Ethiopia practising large-scale sugarcane irrigation, traditional smallholder irrigation and non-irrigated farming, cross-sectional parasitological surveys were conducted during the short rains, after the long rains and during the dry season. Entomological surveys were undertaken monthly (February 2010-January 2011) in each village using light traps, pyrethrum spray collections and artificial pit shelters. (MapVEu VBP0000684)",population_biology,N/A,,,,
Genome-wide Transcriptional Analyses in Anopheles Mosquitoes Reveal an Unexpected Association Between Salivary Gland Gene Expression and Insecticide Resistance,3/28/2018,Apollo,Alison T. Isaacs,"Department of Vector Biology, Liverpool School of Tropical Medicine","VectorBase rel. 48, 2020-AUG-27",48,DNA Microarray Assay,agamPEST_microarrayExpression_E-MTAB-6280_Insecticide_resistance_RSRC,DS_dd5f2829b0,<i>Anopheles gambiae</i> PEST<br>,29587635,Isaacs et al.,"Identification of genes associated with bendiocarb resistance. Mosquitoes collected as larvae from Nagongera and Kihihi, Uganda. Bendiocarb-resistant and unexposed female mosquitoes selected using standard WHO tube bioassays. RNA was extracted from pools of five individuals identified as An. gambiae s.s. Insecticide-susceptible mosquitoes from the Kisumu strain were included as controls. RNA hybridized in an interwoven loop design to compare four biological replicates each of resistant, unexposed, and laboratory mosquitoes.",transcript_expression,N/A,,,,
"RNA-Seq from male and female Anopheles coluzzii, Anopheles arabiensis, Anopheles quadriannulatus, and their hybrids.",Jan-20,N/A,Kevin C Deitz,"Department of Entomology, Texas A&M University.; Department of Ecology and Evolutionary Biology and The Lewis-Sigler Institute for Integrative Genomics, Princeton University","VectorBase rel. 47, 2020-APR-07",47,RNASeq,acolNgousso_SRP150554_ebi_rnaSeq_RSRC,DS_dd71eb8985,<i>Anopheles coluzzii</i> Ngousso<br>,29860336,Deitz et al.,RNA-Seq of member species of the Anopheles gambiae species complex and their F1 hybrids.,transcript_expression,N/A,,,,
<i>Anopheles merus</i> MAF 2021 Genome Sequence and Annotation,6/2/2021,Apollo,Igor V. Sharakhov,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","VectorBase rel. 57, 2022-APR-21",55,Genomes,amerMAF2021_primary_genome_RSRC,DS_dd9510023e,<i>Anopheles merus</i> MAF 2021<br>,35413948,Igor V. Sharakhov,Genome Sequence and Annotation of <i>Anopheles merus</i> MAF 2021,genome,16199,,,,
Transcription profiling of eight different time periods of the Anopheles gambiae lifecycle,5/2/2014,Apollo,George K. Christophides,"Division of Cell and Molecular Biology, Faculty of Natural Sciences, Imperial College London, London, United Kingdom","VectorBase rel. 48, 2020-AUG-27",48,DNA Microarray Assay,agamPEST_microarrayExpression_E-TABM-186_RSRC,DS_dece397274,<i>Anopheles gambiae</i> PEST<br>,17563388,Koutsos et al.,"Seven different Anopheles gambiae developmental stages (from embryo to adult) are profiled using the MMC1 EST array. The larval samples are time-based (rather than instar-based).
  The expression ratios are calculated with respect to a standard reference sample in channel 2. The ratios can not be interpreted as up- or down-regulated. They may only be compared relative to each other.",transcript_expression,N/A,,,,
"Developmental stages, reproductive organs and other tissues",Jan-20,Apollo,Benjamin J Matthews,"Laboratory of Neurogenetics and Behavior, The Rockefeller University; Howard Hughes Medical Institute; Kavli Neural Systems Institute","VectorBase rel. 47, 2020-APR-07",47,RNASeq,aaegLVP_AGWG_SRP125355_ebi_rnaSeq_RSRC,DS_ded344cb5e,<i>Aedes aegypti</i> LVP_AGWG<br>,30429615,Matthews et al 2018,"Series of RNA-Seq libraries covering larval and pupal development and adult reproductive tissues. <br><br>  The libraries were prepared using the Illumina Smart-Seq2 (San Diego, CA) following manufacturer protocol. Briefly, mRNAs were extracted from either individual carcasses or individual dissected tissues using RNeasy columns following standard protocols (Qiagen, Germany). Adult carcasses represent what remained after reproductive organs had been dissected. Sex was determined for individuals using morphological features for adults and pupae while L3 and L4 larvae were tested for the male-determining gene nix (Hall et al. 2016) using PCR. <i>Aedes aegypti</i> Liverpool strain.",transcript_expression,N/A,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 2001",7/24/2019,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000513_RSRC,DS_df85dca525,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 2001. (MapVEu VBP0000513),population_biology,N/A,,,,
The male mosquito contribution towards malaria transmission mating influences the Anopheles female midgut transcriptome and increases female susceptibility to human malaria parasites,Jan-20,Apollo,Wellcome Sanger Institute,Wellcome Sanger Institute,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,agamPEST_ERP113663_ebi_rnaSeq_RSRC,DS_df981c3f82,<i>Anopheles gambiae</i> PEST<br>,31697788,Dahalan et al 2019,The male mosquito contribution towards malaria transmission: mating influences the Anopheles female midgut transcriptome and increases female susceptibility to human malaria parasites.,transcript_expression,N/A,,,,
"UK Culicoides surveillance, Pirbright Institute, UK, 2011",3/19/2019,N/A,Simon Carpenter,Pirbright Institute,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000440_RSRC,DS_df989002f4,<br>,N/A,Simon Carpenter,"A UK surveillance network for Culicoides biting midges was ran up by The Pirbright Institute from 2006 to 2011 using 8W ultraviolet Onderstepoort Veterinary Institute (OVI) light-suction traps. Traps were set from dusk until dawn one day a week. Culicoides were categorised into groups using wing patterns and metrics. Male members of the subgenus Avaritia were identified to species level based on their genital morphology, whilst females were treated as a single group and sub-divided according to the appearance of their abdomen (unpigmented, pigmented, gravid and blood-fed). Development of pigmentation in female Culicoides is broadly indicative of aging, but direct extrapolation to parity is not recommended. For larger samples, a subsampling technique was used. 17 trapping sites are georeferenced to the county level. In most cases, there was a single trap per county. For higher resolution georeferencing, please contact the authors. (MapVEu VBP0000440)",population_biology,N/A,,,,
A study on insecticide resistance in Anopheles fluviatilis and anopheles culicifacies to HCH and DDT in the Malkangiri district of Orissa,8/6/2014,N/A,SS Sahu,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000076_RSRC,DS_df9e04e36a,<br>,8936293,SS Sahu,Insecticide resistance study imported from IRBase. (MapVEu VBP0000076),population_biology,N/A,,,,
Susceptibility status of Anopheles maculatus Theobald (Diptera: Culicidae) to DDT in Peninsular Malaysia,8/6/2014,N/A,K.P. Loong,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000065_RSRC,DS_dfda1c8d00,<br>,2633349,K.P. Loong,Insecticide resistance study imported from IRBase. (MapVEu VBP0000065),population_biology,N/A,,,,
"PCR-Based Bloodmeal Analysis of Aedes aegypti and Culex quinquefasciatus (Diptera: Culicidae) in St. George Parish, Grenada",6/17/2019,N/A,Sonia M Cheetham,"Department of Pathobiology, School of Veterinary Medicine, St. George’s University, Grenada, West Indies","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000475_RSRC,DS_dff61255a7,<br>,N/A,Sonia M Cheetham,"In the Caribbean, Aedes aegypti (L.) and Culex quinquefasciatus Say mosquitoes are the dominant mosquito species in developed areas. However, no information is available on the bloodmeal hosts of these invasive vectors in Grenada, where arboviral pathogens such as dengue, chikungunya, and Zika viruses cause significant human suffering. To this end, Ae. aegypti and Cx. quinquefasciatus mosquitoes were investigated from five semirural locations near houses in St. George&#8217;s Parish, from 2017 to 2018. (MapVEu VBP0000475)",population_biology,N/A,,,,
Montana State University mosquito data for 2010,11/6/2020,N/A,Marni Rolston,"Montana State University, MSU Extension - Department of Animal and Range Sciences","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000706_RSRC,DS_dff6a35d77,<br>,N/A,Marni Rolston,"2010 mosquito surveillance data collected by Montana State University, Department of Animal and Range Sciences. (MapVEu VBP0000706)",population_biology,N/A,,,,
Quantification of permethrin resistance and kdr alleles in Florida strains of Aedes aegypti (L.) and Aedes albopictus (Skuse),1/24/2019,N/A,Alden S Estep,"CMAVE Detachment, Navy Entomology Center of Excellence, Gainesville, FL, United States of America","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000365_RSRC,DS_e03f5d20e4,<br>,30356237,Alden S Estep,The first study to quantify both pyrethroid resistance and genetic markers of pyrethroid resistance in Ae. aegypti and Ae. albopictus strains in Florida. (MapVEu VBP0000365),population_biology,N/A,,,,
<i>Glossina brevipalpis</i> IAEA Genome Sequence and Annotation,GbreI1,Apollo,Geoffrey Attardo,"University of California, Davis, CA, USA","VectorBase rel. 49, 2020-NOV-05",47,Genomes,gbreIAEA_primary_genome_RSRC,DS_e06728f3d2,<i>Glossina brevipalpis</i> IAEA<br>,31477173,Geoffrey Attardo,Genome Sequence and Annotation for <i>Glossina brevipalpis</i> IAEA,genome,14991,,,,
Euryhaline vs stenohaline: Fresh vs Salt water,3/31/2016,Apollo,Hilary Uyhelji,"Biological Sciences, University of Notre Dame","VectorBase rel. 67, 2024-FEB-21",67,RNASeq,amerMAF2021_SRP044683_ebi_rnaSeq_RSRC,DS_e0c02929db,<i>Anopheles merus</i> MAF 2021<br>,26945667,Uyhelji et al 2016,"After rearing in freshwater, both young and old larval instars of each species were briefly (6 h) exposed to either saltwater (SW) or freshwater (FW) conditions to test the impact of salinity on mRNA levels.",transcript_expression,N/A,,,,
<i>Musca domestica</i> aabys Genome Sequence and Annotation,MdomA1,Apollo,Jeffrey Scott,"Cornell University, Ithaca, NY, USA","VectorBase rel. 49, 2020-NOV-05",47,Genomes,mdomaabys_primary_genome_RSRC,DS_e0f2ef9108,<i>Musca domestica</i> aabys<br>,25315136,Jeffrey Scott,Genome Sequence and Annotation for <i>Musca domestica</i> Aabys,genome,16135,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 2008",7/27/2019,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000520_RSRC,DS_e11f4f593f,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 2008. (MapVEu VBP0000520),population_biology,N/A,,,,
Status of insecticide resistance in high&#8209;risk malaria provinces in Afghanistan,6/16/2016,N/A,Mushtaq Ahmad,"HealthNet TPO, Kabul, Afghanistan.","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000131_RSRC,DS_e1423a8ef5,<br>,N/A,Mushtaq Ahmad,"WHO insecticide susceptibility tests were performed with DDT, malathion, bendiocarb, permethrin and deltamethrin. In addition, the presence of kdr mutations was investigated in deltamethrin resistant and susceptible An. stephensi mosquitoes collected in Afghanistan. (MapVEu VBP0000131)",population_biology,N/A,,,,
"Lee County Mosquito Control Department data in Lee county, Florida, 2018.",6/11/2019,N/A,Sterling Milton,Lee County Mosquito Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000469_RSRC,DS_e150e28158,<br>,N/A,Sterling Milton,"2018 mosquito data from Lee county, Florida, collected by the Lee County Mosquito Control Department. (MapVEu VBP0000469)",population_biology,N/A,,,,
Spermathecae from virgin and mated females,2/10/2020,Apollo,Gustavo Ferreira Martins,"Departamento de Biologia Geral, Universidade Federal de Viçosa","VectorBase rel. 52, 2021-MAY-20",52,RNASeq,aaegLVP_AGWG_Pascini_Spermathecae_ebi_rnaSeq_RSRC,DS_e1e031c1fa,<i>Aedes aegypti</i> LVP_AGWG<br>,32041546,Pascini et al 2020,RNAseq from Aedes aegypti female spermathecae with two physiological conditions: virgin and inseminated/mated.,transcript_expression,N/A,,,,
Spatial Anopheles arabiensis (Diptera: Culicidae) insecticide resistance patterns across malaria-endemic regions of Botswana,1/25/2021,N/A,Mmabaledi Buxton,"Department of Biological Sciences and Biotechnology, Botswana International University of Science and Technology, Palapye, Botswana","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000719_RSRC,DS_e206d9c8fe,<br>,33213466,Mmabaledi Buxton,"Susceptibility status of a malaria vector (Anopheles arabiensis), was assessed against World Health Organization-recommended insecticides, across three malaria endemic districts. Adult virgin female mosquitoes (2-5 days old) emerging from wild-collected larvae were exposed to standardized insecticide-impregnated papers with discriminating doses. (MapVEu VBP0000719)",population_biology,N/A,,,,
eGFP sRNA Aedes aegypti sequencing,Jan-20,Apollo,Erick LeBrun,Pebble Labs USA,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,aaegLVP_AGWG_SRP186517_ebi_rnaSeq_RSRC,DS_e2ae5e12d6,<i>Aedes aegypti</i> LVP_AGWG<br>,N/A,Erick LeBrun,Study looks at sRNA populations in Aedes aegypti associated with a dsRNA construct.,transcript_expression,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 1969 (New Jersey light trap)",3/13/2019,N/A,Ryan Smith,Iowa State University,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000433_RSRC,DS_e2df0e5e90,<br>,"18714883, 25102595, 31036953",Ryan Smith,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000433)",population_biology,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 1982 (New Jersey light trap)",3/11/2019,N/A,Ryan Smith,Iowa State University,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000424_RSRC,DS_e31582f9cc,<br>,"18714883, 25102595, 31036953",Ryan Smith,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000424)",population_biology,N/A,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 2005",7/26/2019,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000517_RSRC,DS_e317fe5ba2,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 2005. (MapVEu VBP0000517),population_biology,N/A,,,,
Short-read sequencing the transcriptomes,Jan-20,Apollo,John G Gibbons,"Department of Biological Sciences, Vanderbilt University","VectorBase rel. 47, 2020-APR-07",47,RNASeq,agamPEST_SRP001531_ebi_rnaSeq_RSRC,DS_e32396dae4,<i>Anopheles gambiae</i> PEST<br>,19706727,Gibbons et al. 2009,Short-read sequencing the transcriptomes of mixed sex (non–blood-fed) adult individuals,transcript_expression,N/A,,,,
Genetic Structure of a Local Population of the Anopheles gambiae Complex in Burkina Faso,2/11/2016,N/A,Kenneth D. Vernick,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000124_RSRC,DS_e3b3b46a00,<br>,26731649,Kenneth D. Vernick,"Array based genotyping of multiple species from Goundry region of Burkina Faso reveals a new A. gambiae/A. coluzzii intermediate form, and analysis of linkage disequilibrium identified 19 new candidate genes for association with underlying population divergence. (MapVEu VBP0000124)",population_biology,N/A,,,,
