Data Set,Data Set Version,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Short Attribution,Summary,Type,VEuPathDB Project,Genes,,,,
Deltamethrin resistant and susceptible mosquitoes,20-Jan,Jiabao Xu,Southern Medical University,"VEuPathDB rel. 62, 2023-MAR-09",62,RNASeq,aalbFPA_SRP172583_ebi_rnaSeq_RSRC,DS_c842c99097,<i>Aedes albopictus</i> Foshan FPA<br>,N/A,"Xu et al 2018, unpublished",We investigated the transcriptional profiles of deltamethrin resistant and susceptible Ae. albopictus by performing paired-end RNA-Seq analysis. The project used 24 independent libraries constructed from 12 wild caught resistant and 12 susceptible Ae. albopictus female adults.,transcript_expression,VectorBase,N/A,,,,
North Dakota State Department of Health mosquito data for 2010,8/30/2019,Kristi Bullinger,North Dakota Department of Health,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000534_RSRC,DS_c846e7c273,<br>,N/A,Kristi Bullinger,"2010 mosquito data from North Dakota, collected by the North Dakota State Department of Health. (MapVEu VBP0000534)",population_biology, ,N/A,,,,
"Mosquito surveillance, Ada County Weed, Pest, and Mosquito, in Idaho, USA, 2011",6/27/2020,Desireé Keeney,"Ada County Weed, Pest, and Mosquito","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000659_RSRC,DS_c84a37b181,<br>,N/A,Desireé Keeney,"Mosquito collections from Ada County Weed, Pest, and Mosquito have been made in various locations in Ada County, Idaho, USA, using EVS (Encephalitis Vector Survey) traps. (MapVEu VBP0000659)",population_biology, ,N/A,,,,
"Non-mosquito surveillance, Northwest Mosquito and Vector Control District, in California, USA, 2017",3/1/2019,Angela Caranci,Northwest Mosquito and Vector Control District,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000408_RSRC,DS_c84cdc77c0,<br>,N/A,Angela Caranci,"Non-mosquito surveillance, Northwest Mosquito and Vector Control District, in California, USA, 2017. (MapVEu VBP0000408)",population_biology, ,N/A,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 1981",7/10/2019,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000483_RSRC,DS_c85103f68e,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 1981. (MapVEu VBP0000483),population_biology, ,N/A,,,,
T. cruzi and T. brucei lysine and N-terminal acetylation proteomes,1/5/2018,Sergio Schenkman,"Department of Microbiology, Immunology, and Parasitology, Universidade Federal de Sao Paulo","VEuPathDB rel. 38, 2018-JUL-05",38,Protein expression,tcruCLBrenerNon-Esmeraldo-like_massSpec_Lysine_and_Nterminal_acetylation_RSRC,DS_c87b905ece,<i>Trypanosoma cruzi</i> CL Brener Non-Esmeraldo-like<br>,29168382,Moretti et al.,"Acetylation of lysine and N-terminal amino acids in <i>T. cruzi</i> epimastigotes, <i>T. brucei</i> procyclic forms, and <i>T. brucei</i> bloodstream forms.",protein_expression,TriTrypDB,N/A,,,,
<i>Porospora gigantea</i> B Genome Sequence and Annotation,9/14/2021,Isabelle Florent,"Museum National d Histoire Naturelle, Paris France","VEuPathDB rel. 65, 2023-SEP-14",61,Genomes,pgigB_primary_genome_RSRC,DS_c8ace9e1f6,<i>Porospora cf.</i> gigantea B<br>,35780080,Isabelle Florent,"Genome sequence and annotation for <i>Porospora cf. gigantea</i> B, a marine eugregarine apicomplexan which was sequenced with Illumina methods.",genome,CryptoDB,5361,,,,
<i>Anopheles gambiae</i> Ifakara Genome Sequence and Annotation,12/19/2023,Mara Lawniczak,"Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridgeshire, UK","VEuPathDB rel. 68, 2024-MAY-07",68,Genomes,agamIfakara_primary_genome_RSRC,DS_c8bd8b61dc,<i>Anopheles gambiae</i> Ifakara<br>,37424773,Mara Lawniczak,Genome Sequence and Annotation of <i>Anopheles gambiae</i> Ifakara,genome,VectorBase,15165,,,,
<i>Nakaseomyces glabratus</i> CBS 138 Genome Sequence and Annotation,s02-m07-r27,Candida Genome Database (CGD),Stanford University,"VEuPathDB rel. 64, 2023-JUL-12",21,Genomes,cglaCBS138_primary_genome_RSRC,DS_c8c07fac9f,<i>Nakaseomyces glabratus</i> CBS 138<br>,"12527359, 15229592",Candida Genome Database (CGD),Genome sequence and annotation for <i>Nakaseomyces glabratus</i> CBS 138.,genome,FungiDB,5615,,,,
<i>Alternaria alternata</i> SRC1lrK2f Genome Sequence and Annotation,5/11/2016,Colleen M. Hansel,"Department of Marine Chemistry and Geochemistry, Woods Hole Oceanographic Institution, Woods Hole, Massachusetts, USA","VEuPathDB rel. 59, 2022-AUG-30",59,Genomes,aaltSRC1lrK2f_primary_genome_RSRC,DS_c8c6d0b908,<i>Alternaria alternata</i> SRC1lrK2f<br>,27434633,Colleen M. Hansel,Genome Sequence and Annotation of <i>Alternaria alternata</i> SRC1lrK2f,genome,FungiDB,13577,,,,
Transcriptomic responses under acidic pH stress,4/16/2014,Christina Cuomo,"The Broad Institute of Harvard and MIT, USA","VEuPathDB rel. 53, 2021-JUL-21",53,RNASeq,ederNIHUT8656_Chen_Thermophilic_Pathogen_ebi_rnaSeq_RSRC,DS_c8e6d76de5,<i>Exophiala dermatitidis</i> NIH/UT8656<br>,24496724,Chen et al. 2014,Gene expression analysis at pH 2.5 and 6.,transcript_expression,FungiDB,N/A,,,,
Montana State University mosquito data for 2018,7/8/2020,Marni Rolston,"Montana State University, MSU Extension - Department of Animal and Range Sciences","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000667_RSRC,DS_c8ea9d4c76,<br>,N/A,Marni Rolston,"2018 mosquito surveillance data collected by Montana State University, Department of Animal and Range Sciences. (MapVEu VBP0000667)",population_biology, ,N/A,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 1984",7/11/2019,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000486_RSRC,DS_c911a14dc4,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 1984. (MapVEu VBP0000486),population_biology, ,N/A,,,,
Contrasting patterns of insecticide resistance and knockdown resistance (kdr) in the dengue vectors Aedes aegypti and Aedes albopictus from Malaysia,7/21/2016,Intan H Ishak,"Department of Vector Biology, Liverpool School of Tropical Medicine, Pembroke Place, Liverpool, L3 5QA United Kingdom","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000135_RSRC,DS_c919db5b04,<br>,25888775,Intan H Ishak,Aedes aegypti and albopictus mosquitoes were collected from four states in Malaysia in 2010 using ovitraps and tested against six major insecticides using WHO bioassays. Knockdown resistance (kdr) was investigated in both species. (MapVEu VBP0000135),population_biology, ,N/A,,,,
"Epigenome of sporozoites (HP-1, H3K9me3, H3K9ac) and rings (HP-1, H3K9me3).",9/29/2016,Artur Scherf,Unite de Biologie des Interactions Hote-Parasite,"VEuPathDB rel. 38, 2018-JUL-05",38,CHIP Seq,pfal3D7_Zanghi_Sporo_Ring_chipSeq_RSRC,DS_c930c27891,<i>Plasmodium falciparum</i> 3D7<br>,29539423,Zanghi et al.,"Genome-wide distribution of HP-1 and H3K9me3 in P. falciparum rings and sporozoites, as well as H3K9ac in sporozoites.",transcript_expression,PlasmoDB,N/A,,,,
SNP calls on WGS of environmental isolates of Aspergillus fumigatus,11/6/2020,Amelia Barber,Friedrich Schiller University Jena and not the Leibniz-HKI,"VEuPathDB rel. 53, 2021-JUL-21",53,Genetic variation,afumAf293_HTS_SNP_Barber_Environmental_Isolates_RSRC,DS_c968c64b08,<i>Aspergillus fumigatus</i> Af293<br>,33234685,Barber et al. 2020,64 field isolates were collected from agricultural fields in Germany,isolates,FungiDB,N/A,,,,
"Female antennae from six-time points (5 to 10 days) post-emergence, non-blood fed (nbf) and age-matched blood-fed (bf) cohorts",1/21/2021,Sharon Rose Hill,"Disease Vector Group, Department of Plant Protection Biology, Swedish University of Agricultural Sciences","VEuPathDB rel. 67, 2024-FEB-21",67,RNASeq,aaegLVP_AGWG_Hill_gonotrophic_2021_ebi_rnaSeq_RSRC,DS_c99d8e6474,<i>Aedes aegypti</i> LVP_AGWG<br>,33478394,Hill et al 2021,"Female antenna from six-time points, 5 to 10 days post-emergence (dpe) non-blood fed (nbf) and age-matched blood-fed (bf) cohorts (5 to 10 dpe bf), spanning the adult female’s first gonotrophic cycle",transcript_expression,VectorBase,N/A,,,,
Isolate genotypes generated from a 3k SNP Chip,6/13/2008,Dyann F. Wirth,"Harvard School of Public Health, Harvard University","EuPathDB rel. 1.0, 01-JAN-05",0,Genetic variation,pfal3D7_SNPChip_Broad3KGenotyping_RSRC,DS_c9a2d71a32,<i>Plasmodium falciparum</i> 3D7<br>,N/A,Dyann F. Wirth,Isolate genotyping data generated from a 3k snp chip from Broad,isolates,PlasmoDB,N/A,,,,
<i>Pneumocystis oryctolagi</i> CS1 Genome Sequence and Annotation,3/9/2021,Joseph A. Kovacs,"NIH Clinical Center, Bethesda, MD USA","VEuPathDB rel. 56, 2022-FEB-15",56,Genomes,poryCS1_primary_genome_RSRC,DS_c9de871465,<i>Pneumocystis oryctolagi</i> CS1<br>,33686174,Joseph A. Kovacs,Genome Sequence and Annotation of <i>Pneumocystis oryctolagi</i> CS1,genome,FungiDB,2856,,,,
D. purpureum developmental program transcriptome,3/17/2010,Gad Shaulsky,"Baylor College of Medicine, Texas, USA","VEuPathDB rel. 68, 2024-MAY-07",68,RNASeq,dpurQSDP1_dpurQSDP1_developmental_TimeCourse_ebi_rnaSeq_RSRC,DS_c9e44993e4,<i>Dictyostelium purpureum</i> QSDP1<br>,20236529,Parikh et al. 2010,RNA sequence transcriptome of <i>Dictyostelium purpureum</i> during 24 hour developmental program. Samples taken every 4 hours.,transcript_expression,AmoebaDB,N/A,,,,
Susceptibility of A. gambiae s.l. from C&#244;te d&#8217;Ivoire to Insecticides on Insecticide-Treated Nets: the Impact of Piperonyl Butoxide and Chlorfenapyr,6/23/2020,Joseph Chabi,University of Ghana Noguchi Memorial Institute for Medical Research,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000650_RSRC,DS_ca01fd6c33,<br>,N/A,Joseph Chabi,"Susceptibility tests were conducted on 2- to 4-day old adult female An. gambiae s.l. reared from larval collections.  n the absence of a WHO-recommended standard protocol for chlorfenapyr, two interim doses (100 and 200 &#181;g/bottle) were used to test the susceptibility of mosquitoes using the CDC bottle assay method. (MapVEu VBP0000650)",population_biology, ,N/A,,,,
"Maryland Dept. of Agriculture mosquito surveillance, Maryland, USA, 2014",5/3/2021,Stephen Panossian,Maryland Department of Agriculture Mosquito Control Section,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000760_RSRC,DS_ca0cb53538,<br>,N/A,Stephen Panossian,Maryland Dept. of Agriculture weekly mosquito population surveillance performed using various traps in 2014. (MapVEu VBP0000760),population_biology, ,N/A,,,,
ChIP-Seq of Hox7(3xFlag) and mst12(gfp),8/24/2021,Nick Talbot,"The Sainsbury Laboratory, UK","VEuPathDB rel. 66, 2023-NOV-28",66,CHIP Seq,mory70-15_Oses-Ruiz_mycelialChiP_2021_chipSeq_RSRC,DS_ca2a8024e1,<i>Pyricularia oryzae</i> 70-15<br>,N/A,Osés-Ruiz et al. 2021,Genome binding/occupancy profiling by high throughput sequencing.,transcript_expression,FungiDB,N/A,,,,
"SNP calls on WGS of Candida auris isolates from the coastal wetlands of Andaman Islands, India",1/30/2021,Anuradha Chowdhary,"Department of Medical Mycology, Vallabhbhai Patel Chest Institute, University of Delhi, New Delhi, India","VEuPathDB rel. 55, 2021-DEC-02",55,Genetic variation,caurB8441_HTS_SNP_Cauris_India_arora_2021_RSRC,DS_ca480bb83f,<i>Candida auris</i> strain B8441<br>,33727354,Arora et al. 2021.,"13 <i>Candida auris</i> strains isolated in the present study from the South Andaman district, Andaman &amp; Nicobar Islands, Union Territory of India.",isolates,FungiDB,N/A,,,,
<i>Stachybotrys chartarum</i> IBT 40293 Genome Sequence and Annotation,7/23/2014,Jeremy Semeiks,"Molecular Biophysics Program and Medical Scientist Training Program, University of Texas Southwestern Medical Center, Dallas, Texas, USA","VEuPathDB rel. 61, 2022-DEC-15",61,Genomes,schaIBT40293_primary_genome_RSRC,DS_ca64d9eec1,<i>Stachybotrys chartarum</i> IBT 40293<br>,25015739,Jeremy Semeiks,Genome Sequence and Annotation of <i>Stachybotrys chartarum</i> IBT 40293,genome,FungiDB,11453,,,,
Histoplasma capsulatum yeast and mycelial transcriptomes (G186A and G217B),7/22/2015,Chad Rappleye,"Department of Microbiology, Ohio State University, Columbus","VEuPathDB rel. 44, 2019-JUL-02",44,RNASeq,hcapG217B_G186A_G217B_yeastAndMycelial_ebi_rnaSeq_RSRC,DS_ca83a82d1b,<i>Histoplasma capsulatum</i> G217B<br>,24112604,Edwards et al. 2013,Yeast and mycelial transcriptome of <i>Histoplasma capsulatum</i> G186A and G217B strains were analyzed via the Illumina GAII platform.,transcript_expression,FungiDB,N/A,,,,
Transcriptional profiling of Candida auris B8441 grown on different carbon and nitrogen sources,1/20/2023,Slavena Vylkova,"Septomics Research Center, Friedrich Schiller University, and Leibniz Institute for Natural Product Research and Infection Biology, Hans Knöll Institute","VEuPathDB rel. 68, 2024-MAY-07",68,RNASeq,caurB8441_Brandt_Cauris_2023_ebi_rnaSeq_RSRC,DS_caa4eaf6df,<i>Candida auris</i> strain B8441<br>,37097196,Brandt et al. 2023,Transcriptional profiles were generated after 4 h incubation at 37°C.,transcript_expression,FungiDB,N/A,,,,
Purified Uropods from Trophozoite,2011-04,Nancy Guillen,"Unit of Cell Biology of Parasitism, Institut Pasteur","EuPathDB rel. 1.0, 01-JAN-05",0,Protein expression,ehisHM1IMSS_massSpec_Markiewicz_Proteomics_RSRC,DS_caab0ea3d4,<i>Entamoeba histolytica</i> HM-1:IMSS<br>,21483708,Markiewicz et al.,Purified Uropods from Trophozoite,protein_expression,AmoebaDB,N/A,,,,
Culex annulirostris (Diptera: Culicidae) Host Feeding Patterns and Japanese Encephalitis Virus Ecology in Northern Australia,1/21/2019,Andrew Van Den Hurk,"Public Health Virology, Queensland Health Forensic and Scientific Services, Coopers Plains, Queensland 4108, Australia. School of Chemistry and Molecular Biosciences, University of Queensland, St. Lucia, Queensland 4072, Australia.","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000358_RSRC,DS_cac06c15b0,<br>,22493857,Andrew Van Den Hurk,"To further characterize mosquito feeding behavior in northern Australia, 1,128 bloodmeals from Cx. annulirostris were analyzed using a double-antibody enzyme-linked immunosorbent assay. (MapVEu VBP0000358)",population_biology, ,N/A,,,,
Candida albicans adaptation to azole antifungal drugs,7/17/2020,Anna Selmecki,"Department of Microbiology and Immunology, University of Minnesota Medical School","VEuPathDB rel. 56, 2022-FEB-15",56,Genetic variation,calbSC5314_HTS_SNP_Selmecki_Calbevolution_RSRC,DS_caec2bd9bb,<i>Candida albicans</i> SC5314<br>,32687060,"Todd and Selmecki, 2020",The goal of this research was to identify the copy number breakpoints associated with complex copy number variations in diverse <i>Candida albicans</i> isolates.,isolates,FungiDB,N/A,,,,
Procyclics - protein palmitoylation (29-13),12/30/2010,Igor C. Almeida,University of Texas at El Paso,"EuPathDB rel. 1.0, 01-JAN-05",0,Protein expression,tbruTREU927_massSpec_Almeida_Proteomics_RSRC,DS_cb04b52010,<i>Trypanosoma brucei</i> brucei TREU927<br>,21193548,"Emmer, et al.","Proteins from whole cell lysates of <i>T. brucei</i> procyclic form 29-13 strain 
    were biotinylated at the site of palmitoylation and purified by streptavidin chromatography. 
    Streptavidin eluates were precipitated and proteins preparations were analyzed by LC-MS/MS.",protein_expression,TriTrypDB,N/A,,,,
Liftoff Gene models of FUMOZ to AfunGA1,build_67,Mara Lawniczak,"Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridgeshire, UK","VEuPathDB rel. 66, 2023-NOV-28",66,"Sequence sites, features and motifs",afunidAnoFuneDA416_04_FUMOZ_liftoff_phase_corrected_GFF_RSRC,DS_cb12e6264c,<i>Anopheles funestus</i> AfunGA1<br>,36874567,Mara Lawniczak,Gene models of FUMOZ were mapped to AfunGA1 assembly by liftoff,feature, ,N/A,,,,
Comparative proteomics of bloodstream and procyclic forms (T.b. 427),1,Michael Urbaniak,University of Dundee,"VEuPathDB rel. 2.18, 2013-MAY-31",18,Protein expression,tbruTREU927_massSpec_Urbaniak_CompProt_RSRC,DS_cb23da819c,<i>Trypanosoma brucei</i> brucei TREU927<br>,22574199,Urbaniak et al.,Comparison of <i>T. brucei</i> 427 procyclic and bloodstream form trypanosomes via SILAC proteomic analysis.,protein_expression,TriTrypDB,N/A,,,,
Male and female sex-tissues vs carcass in adults and larvae,20-Jan,Daniel Borkowski,University of Notre Dame,"VEuPathDB rel. 47, 2020-APR-07",47,RNASeq,agamPEST_SRP045243_ebi_rnaSeq_RSRC,DS_cb6310bab8,<i>Anopheles gambiae</i> PEST<br>,28747381,Papa et al 2017,"Male and female sex-tissues vs carcass transcriptomes.  3-4 day old adult males and 48 hour blood-fed females. Reproductive tissues collected from females included the ovaries and the common oviduct and for males included the testis and accessory glands. The remaining carcass (CA) included the head, thorax and abdomen.",transcript_expression,VectorBase,N/A,,,,
Transcriptome profiling of Coccidioides posadasii WT and CPS1 deletion mutant,9/19/2016,Marc Orbach,"School of Plant Sciences, The University of Arizona","VEuPathDB rel. 36, 2018-FEB-19",36,RNASeq,cposSilveira_Narra_WT_CBS1mutant_ebi_rnaSeq_RSRC,DS_cb7f62f1d6,<i>Coccidioides posadasii</i> str. Silveira<br>,27481239,Narra et al. 2016,Transcriptomes of WT and the avirulent cps-1 mutant.,transcript_expression,FungiDB,N/A,,,,
Multi-country Survey Revealed Prevalent and Novel F1534S Mutation in Voltage-Gated Sodium Channel (VGSC) Gene in Aedes albopictus,7/25/2016,Guiyun Yan,"Department of Parasitology, School of Public Health and Tropical Medicine, Southern Medical University, Guangzhou, China, Program in Public Health, University of California, Irvine, Irvine, California, United States of America","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000136_RSRC,DS_cb8ea47958,<br>,27144981,Guiyun Yan,"A total of 597 Ae. albopictus individuals from 12 populations across Asia, Africa, America and Europe were examined for mutations in the voltage-gated sodium channel gene. Three domains for a total of 1,107 bp were sequenced for every individual. Two populations from southern China were examined for pyrethroid resistance using the WHO standard tube bioassay, and the association between kdr mutations and phenotypic resistance was tested. (MapVEu VBP0000136)",population_biology, ,N/A,,,,
Proteomics changes in response to human serum,7/12/2013,Aaron T. Wright,"Biological Sciences Division, Pacific Northwest National Laboratory","VEuPathDB rel. 50, 2020-DEC-17",50,Protein expression,afumAf293_quantitativeMassSpec_Wiedner_Protein_Fumigatus_RSRC,DS_cb8fced45f,<i>Aspergillus fumigatus</i> Af293<br>,23599423,Wiedner et al. 2013,Proteomics response of <i>Aspergillus fumigatus</i> to human serum.,protein_expression,FungiDB,N/A,,,,
Trophozoite transcriptome of A. castellani,12/29/2017,Wojciech Makalowski,"Institute of Bioinformatics, Faculty of Medicine, University of Muenster, Niels Stensen Strasse 14, 48149, Muenster, Germany","VEuPathDB rel. 37, 2018-APR-25",37,RNASeq,acasNeff_Trophozoite_transcriptome_ebi_rnaSeq_RSRC,DS_cb9aa9ae39,<i>Acanthamoeba castellanii</i> str. Neff<br>,"29284403, 29559848",Wojtkawska et al.,Trophozoite transcriptome of <i> Acanthamoeba castellini </i> str Neff,transcript_expression,AmoebaDB,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 2010 (New Jersey light trap)",2/2/2019,Unidentified,N/A,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000379_RSRC,DS_cbbc54e275,<br>,N/A,Unidentified,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000379)",population_biology, ,N/A,,,,
<i>Ustilago maydis</i> 521 Genome Sequence and Annotation,6/2/2017,Jörg Kämper,"Department of Organismic Interactions, Max Planck Institute for Terrestrial Microbiology","VEuPathDB rel. 51, 2021-MAR-16",21,Genomes,umay521_primary_genome_RSRC,DS_cbbce274f6,<i>Ustilago maydis</i> 521<br>,17080091,Jörg Kämper,Genome sequence and annotation for <i>Ustilago maydis</i> 521.,genome,FungiDB,6910,,,,
<i>Coccidioides posadasii</i> CPA 0020 Genome Sequence,7/13/2015,Daniel E. Neafsey,"Harvard University & BROAD Institute, Cambridge, MA, USA","VEuPathDB rel. 51, 2021-MAR-16",26,Genomes,cposCPA0020_primary_genome_RSRC,DS_cbcf4cef2c,<i>Coccidioides posadasii</i> CPA 0020<br>,20516208,Daniel E. Neafsey,Genome sequence for <i>Coccidioides posadasii</i> CPA 0020,genome,FungiDB,N/A,,,,
Proteomics changes in response to human serum,7/12/2013,Aaron T. Wright,"Biological Sciences Division, Pacific Northwest National Laboratory","VEuPathDB rel. 50, 2020-DEC-17",50,Protein expression,aclaNRRL1_quantitativeMassSpec_Wiedner_Protein_Clavatus_RSRC,DS_cbdcb0ce28,<i>Aspergillus clavatus</i> NRRL 1<br>,23599423,Wiedner et al. 2013,Proteomics response of <i>Aspergillus clavatus</i> to human serum.,protein_expression,FungiDB,N/A,,,,
<i>Ordospora colligata</i> OC4 Genome Sequence and Annotation,12/17/2014,Patrick Keeling,University of British Columbia,"VEuPathDB rel. 52, 2021-MAY-20",24,Genomes,ocolOC4_primary_genome_RSRC,DS_cbea5a2e13,<i>Ordospora colligata</i> OC4<br>,25587016,Patrick Keeling,<i>Ordospora colligata OC4</i> Sequence and Annotation,genome,MicrosporidiaDB,1879,,,,
North Dakota State Department of Health mosquito data for 2005,8/28/2019,Kristi Bullinger,North Dakota Department of Health,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000529_RSRC,DS_cbf4b8eece,<br>,N/A,Kristi Bullinger,"2005 mosquito data from North Dakota, collected by the North Dakota State Department of Health. (MapVEu VBP0000529)",population_biology, ,N/A,,,,
Monitoring of resistance to the pyrethroid cypermethrin in Brazilian Aedes aegypti (Diptera : Culicidae) populations collected between 2001 and 2003,8/6/2014,M.P. da-Cunha,N/A,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000098_RSRC,DS_cbfdfe115d,<br>,16113895,M.P. da-Cunha,Insecticide resistance study imported from IRBase. (MapVEu VBP0000098),population_biology, ,N/A,,,,
Powassan/Deer Tick Virus and Borrelia Burgdorferi Infection in Wisconsin Tick Populations,2023,Konstance K Knox,N/A,"VEuPathDB rel. 63, 2023-MAY-03",63,N/A,ISATab_VBP0000833_RSRC,DS_cc086414ca,<br>,28488932,Konstance K Knox,"Prevalence and geographic distribution of Wisconsin ticks carrying POWV/DTV as well as the high frequency of Ixodes scapularis ticks coinfected with both POWV/DTV and Borrelia burgdorferi, the causative agent of Lyme disease.",population_biology, ,N/A,,,,
C. parvum WGS of clinical isolates (C. hominis aligned),5/4/2019,Kevin Tyler,University of East Anglia,"VEuPathDB rel. 57, 2022-APR-21",57,Genetic variation,chomTU502_HTS_SNP_Nader_Clinical_Isolates_RSRC,DS_cc23accd38,<i>Cryptosporidium hominis</i> TU502<br>,30833731,Nader et al.,Whole genome sequence of C. parvum isolates determined by an IMS/Illumina-based method for the WGS of clinical isolates,isolates,CryptoDB,N/A,,,,
<i>Monilinia fructicola</i> CPMC6 Genome Sequence and Annotation,2/18/2021,Jan A. L. Van Kan,"boratory of Phytopathology, Wageningen University, 6708 PB Wageningen, The Netherlands","VEuPathDB rel. 63, 2023-MAY-03",63,Genomes,mfruCPMC6_primary_genome_RSRC,DS_cc2f7d14a6,<i>Monilinia fructicola</i> CPMC6<br>,33919788,Jan A. L. Van Kan,Genome Sequence and Annotation of <i>Monilinia fructicola</i> CPMC6,genome,FungiDB,10085,,,,
SNP calls on 387 C. neoformans var. grubii isolates,7/27/2017,Christina Cuomo,"The Broad Institute of Harvard and MIT, USA","VEuPathDB rel. 41, 2018-DEC-13",41,Genetic variation,cneoH99_HTS_SNP_Cuomo_387_Isolates_RSRC,DS_cc66146b8b,<i>Cryptococcus neoformans</i> var. grubii H99<br>,28611159,Christina Cuomo,Whole genome sequencing data from 387 <i>C. neoformans</i> var. <i>grubii</i> isolates,isolates,FungiDB,N/A,,,,
<i>Coccidioides posadasii</i> C735 delta SOWgp Genome Sequence and Annotation,6/17/2009,Thomas J. Sharpton,"Department of Plant and Microbial Biology, University of California, Berkeley","VEuPathDB rel. 51, 2021-MAR-16",16,Genomes,cposC735deltSOWgp_primary_genome_RSRC,DS_cc6bb7dea0,<i>Coccidioides posadasii</i> C735 delta SOWgp<br>,19717792,Thomas J. Sharpton,Genome sequence and annotation for <i>Cryptococcus neoformans</i> var. <i>neoformans</i> JEC21.,genome,FungiDB,7255,,,,
<i>Canis lupus</i> familiaris isolate SID07034 Genome Sequence and Annotation,ROS_Cfam_1.0,Ensembl,EMBL-EBI and Wellcome Sanger Institute,"VEuPathDB rel. 57, 2022-APR-21",57,Genomes,clupfamiliarisSID07034_primary_genome_RSRC,DS_cc6d31b7c6,<i>Canis lupus</i> familiaris isolate SID07034<br>,N/A,Ensembl,Genome Sequence and Annotation of <i>Canis lupus</i> familiaris isolate SID07034. From a male Labrador retriever.,genome,HostDB,31121,,,,
"Response to blood (heated or normal), sugar, and complement proteins (hC3 or hC5a)",9/9/2020,Berlin Londono-Renteria,"Department of Entomology, Kansas State University","VEuPathDB rel. 52, 2021-MAY-20",52,RNASeq,aaegLVP_AGWG_Giraldo_Exp_Conditions_Response_ebi_rnaSeq_RSRC,DS_cc6ef928ad,<i>Aedes aegypti</i> LVP_AGWG<br>,32916828,Giraldo-Calderón et al 2020,Three different experimental conditions (meal types) for the in vivo mosquitoes. Three experimental conditions for the in vitro cell line (types of human complement proteins).,transcript_expression,VectorBase,N/A,,,,
<i>Aedes aegypti</i> LVP_AGWG Genome Sequence and Annotation,AaegL5,Ben Matthews,N/A,"VEuPathDB rel. 66, 2023-NOV-28",47,Genomes,aaegLVP_AGWG_primary_genome_RSRC,DS_cc8d875d2e,<i>Aedes aegypti</i> LVP_AGWG<br>,30429615,Ben Matthews,Genome Sequence and Annotation for <i>Aedes aegypti</i> Liverpool AGWG,genome,VectorBase,19804,,,,
Comparison of gene expression in Cryptococcus gattii clinical isolates,10/12/2018,Robin May,University of Birmingham,"VEuPathDB rel. 41, 2018-DEC-13",41,DNA Microarray Assay,cgatWM276_microarrayExpression_May_23isolates_RSRC,DS_cc8da1fe9f,<i>Cryptococcus gattii</i> WM276<br>,19651610,Ma et al.,Trascriptomics study of <i>C.gattii</i> clinical isolates recovered during Vancouver Island outbreak in Canada.,transcript_expression,FungiDB,N/A,,,,
A single-parasite transcriptional atlas of Toxoplasma Gondii PRU,4/4/2023,John Boothroyd,"Department of Microbiology and Immunology, Stanford University School of Medicine","VEuPathDB rel. 64, 2023-JUL-12",64,scRNA-Seq,tgonME49_boothroyd_PRU_cellxgene_RSRC,DS_cc9d89d676,<i>Toxoplasma gondii</i> ME49<br>,32065584,Xue et al.,A single cell expression atlas in three strains of Toxoplasma gondii tachyzoites and bradyzoites reveals novel control of antigen expression and concerted gene expression through the lifecycle.,transcript_expression,ToxoDB,N/A,,,,
